CLACTON-ON-SEA-HOSPITAL-SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM172143,Long,1.147675,Lat,51.785179,Elevation,53,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1310/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.1,1.2,1.38,3.29,3.59,3.8,2.72,4.6,1.5,2.24,2.62,,,,,2.16,2.33,0.9,1.51,1.44,1.64,0.8,1.79,2.46,3.37,1.07,3.18,2.07,2.06
February,,0.5,0.71,0.27,2.72,2.23,3.33,0.74,0.67,1.44,2.01,0.78,,,,,1.4,0.97,0.94,2.05,3.71,1.12,1.02,1.93,1.53,0.78,1.92,2.19,0.04,1.4
March,,0.9,1.15,1.95,0.71,0.72,2.57,0.43,1.95,2.52,2.25,2.17,,,,,4.31,0.81,0.76,0.56,2.18,3.08,0.3,2.24,1.55,0.95,0.85,0.81,0.86,1.88
April,,2.1,0.76,2.19,2.44,1.21,2.45,0.33,2.75,1.61,1.08,0.59,,,,,0.91,1.78,1.17,1.2,1.95,1.12,1.89,0.22,0.17,0.81,0.09,1.51,1.52,0.58
May,,2.3,1.39,1.46,1.38,0.3,2.5,1.93,2.25,0.61,1.38,2.31,,,,,0.54,1.48,1.83,1.38,2.14,1.18,1.5,1.43,3.5,1.02,1.14,2.85,0.27,1.34
June,,0.3,1.42,0.58,2.26,3.68,1.85,0.38,1.84,0.49,0.67,0.83,,,,,2.15,1.57,0.4,1.27,1.19,2.1,2.08,2.02,2.64,2.1,1.5,3.58,1.33,1.65
July,,2.52,1.74,0.95,0.42,2.71,2.51,1.24,1.65,2.71,1.68,1.88,,,,,1,1.19,0.56,1.65,1.8,0.8,2.88,2.37,0.14,2.9,2.97,2.27,0.92,3.58
August,,1.14,0.44,1.09,2.14,0.72,1.58,1.44,2.13,0.1,3.85,2.48,,,,,0.44,2.12,0.81,1.45,3.96,2.34,1.1,3.7,1.8,3.5,1.32,3.48,0.61,2.86
September,,1.78,2.63,1.95,3.39,2.36,2.86,2.23,0.56,1,0.31,,,,,1.79,1.23,1.46,2.24,2.83,3.48,4.57,1.41,1.09,1.19,1.31,2.61,3.75,0.02,2.15
October,,5.25,1.3,1.35,2.11,1.87,1.89,2.16,8.96,2.2,1.96,,,,,0.86,0.2,0.97,5.22,0.3,0.97,1.95,1.62,1.22,3.24,0.79,1.23,2.08,2.01,6.09
November,,1.09,1.67,1.71,3.51,3.43,1.66,1.85,4.2,5.67,2.58,,,,,3.06,0.95,1.24,1.9,3.46,2.85,4.68,0.89,3,0.52,0.59,1.48,1.02,2.5,3.39
December,,0.25,0.6,3.54,2.23,1.31,4.12,3.18,1.35,1.8,1.37,,,,,2.84,2.84,1.72,1.26,1.43,1.35,2.42,0.61,1.13,1.64,1.91,1.93,3.33,3.05,2.56
Total,,19.23,15.01,18.42,26.6,24.13,31.12,18.63,32.91,21.65,21.38,,,,,,18.13,17.64,17.99,19.09,27.02,27,16.1,22.14,20.38,20.03,18.11,30.05,15.2,29.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This gauge becomes main Clacton on Sea gauge from 1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 values removed as are duplicates of other gauge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932-1933, 8"" loan gauge used as comparision to other gauge until moved to Hospital site at end of 1933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942 Sep until 1946 Aug - observations ceased for war duration, all values entered were estimates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
