COULSDON-NETHERNE-MENTAL-HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ296563,Long,-0.14274,Lat,51.29156,Elevation,540,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,3.83,2.3,3.26,2.33,2.47,1.44,5.86,5.74,3.46,5.99,2.41,2.39,4.02,7.2,,,,,,,
February,,,,,,,,,,,0.9,2.39,0.43,2.97,0.4,3.86,2.23,5.14,0.99,1.27,2.65,3.17,0.52,2.03,,,,,,,
March,,,,,,,,,,,1.58,0.64,1.67,4.06,2.71,0.39,1.68,3.95,0.49,2.09,3.63,3.71,2.31,0.39,,,,,,,
April,,,,,,,,,,,1.76,4.73,2.9,0.73,2.9,3.46,2.1,3.37,0.09,2.04,2.29,2.68,1.99,1.27,,,,,,,
May,,,,,,,,,,,2.71,3.06,4.29,2.6,0.73,1.86,0.45,2.33,2.11,2.61,1.29,2.12,3.52,2.82,,,,,,,
June,,,,,,,,,,,0.68,1.83,0.4,1.36,1.07,4.69,2.65,1.61,0.88,0.9,0.42,2.83,0.15,1.42,,,,,,,
July,,,,,,,,,,,2.92,3,3.63,2.14,1.81,0.92,4.26,1.38,1.95,2.64,3.36,3.06,2.78,1.26,,,,,,,
August,,,,,,,,,,,3.61,4.63,1.13,0.84,2.03,3.34,2.7,2.03,2.68,3.51,0.1,4.35,3.06,0.99,,,,,,,
September,,,,,,,,,,,4.11,1.84,1.88,2.85,1.91,4.29,2.25,2.89,2.5,1.85,1.9,0.71,2.15,1.33,,,,,,,
October,,,,,,,,,,,1.72,0.79,6.57,2.53,2.54,3.75,2.69,3.09,3.44,6.83,3.96,1.98,4.68,2.64,,,,,,,
November,,,,,,,,,,,5.29,3.81,1.1,1.15,2.94,5.75,4.57,2.2,4.02,5.36,9.03,3.31,2.25,1.61,,,,,,,
December,,,,,,,,,,,2.66,0.87,0.99,0.61,8.47,4.14,3.76,4.66,3.95,2.27,2.01,2.81,4.15,2.56,,,,,,,
Total,,,,,,,,,,,31.77,29.89,28.25,24.17,29.98,37.89,35.2,38.39,26.56,37.36,33.05,33.12,31.58,25.52,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read 9am winter and summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
