HASLEMERE-FRENSHAM-HALL-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU880333,Long,-0.744795,Lat,51.09227,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,5.4,2.46,1.2,2.78,0.63,3.66,3.86,1.43,1.18,2.8,5.56,1.28,6.98,1.05,2.08,1.51,3.68,1.68,3.84,5.8,0.69,4.01,2.1,1.68,4.2,6.79,4.62,4.1,5.6,1.98,3.05,4.08,5.16,2.68,5.66,1.64,5.72,2.69,4.78,3.08,2.95,0.94,6.49,7.12,4.38,6.89,3.27,3.44,3.31,7.23,2.67,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.93,0.25,0.55,4.36,1.22,3.84,6.5,2.42,1.94,2.33,4.25,0.77,3.66,1.73,1.35,0.67,5.03,2,3.37,1.41,6.23,6.5,5.89,1.15,2.25,3.57,0.91,0.23,3.71,6.59,0.87,5.2,2.65,5.29,2.5,0.83,1.46,2.79,0.49,4.82,0.14,4.63,2.98,5.48,0.6,2.15,3.54,3.74,0.96,1.76,0.94,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0.35,2.12,2.66,3.88,4.6,1.56,0.91,1.1,2.61,2.13,4.16,1.66,4.83,1.93,1.02,3.79,5.17,1.64,1.96,4.92,3.82,5.17,0.67,5.06,2.8,1.62,5.83,3.23,1.68,3.4,2.63,2.05,0.75,0.4,4.02,2.97,0.1,1.29,0.67,1.91,4.53,3.02,0.74,2.03,5.1,0.39,1.61,4,4.03,2.8,0.68,0.27,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,0,2.39,2.65,0.52,2.76,1.53,3.01,1.19,3.04,1.4,2.56,1.7,1.59,0.67,4.89,3.82,1.97,2.48,1.99,0.02,3.49,1.55,1.54,1.01,2.1,3.73,3.24,4.05,0.98,4.62,3.4,3.92,3.2,3.65,1.99,2.46,0.69,2.86,3.8,3.72,1.08,2.47,3.86,2.41,3.37,0.14,2.88,2.43,1.8,2.18,1.36,1.44,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.15,1.99,0.53,0.43,1.71,4.54,1.72,1.43,0.87,2.46,3.64,3.6,0.62,2.88,2.54,2.7,2.25,2.06,1.65,1.47,3.52,1.28,3.8,2.14,1.51,1.68,0.46,1.15,2.35,0.94,3.04,4.88,5.17,2.74,0.81,2.54,3.11,2.82,3.21,5.13,2.48,0.84,1.41,0.74,2.8,2.06,2.32,0.96,3.46,3.67,3.79,0.71,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.04,2.6,0.27,3.42,2.04,1.96,1.28,3.46,2.01,3.18,4.86,1.44,7.31,2.08,2.78,1.01,2.99,3.72,2.26,3.93,0.48,0.77,1.93,2.23,2.36,1.27,0.86,1.97,0.13,1.76,0.41,3.29,0.04,2.89,3.19,2.82,1.95,0.35,2.06,2.13,2.34,1.4,3.54,3.78,1.55,0.89,2.23,0.63,2.04,0.24,2.13,2.17,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,3.33,5.25,5.09,1.05,0.84,0.36,1.38,1.26,2.6,1.08,3.49,1.29,0.8,0.5,1.46,2.27,3.38,2.61,0.86,2.61,2.76,2.71,4.86,1.24,5.42,5.15,1.56,6.2,0.31,5.28,1.69,4.77,4.06,1.91,4.3,2.01,1.79,2.76,3.76,3.14,2.1,1.75,0.85,4.39,1.38,2.76,4.31,3.03,3.14,2.24,2.55,1.94,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.16,2.38,2.54,2.56,5.48,1.3,0.64,3.22,1.63,4.13,4.88,2.79,3.39,1.67,2.55,4.89,2.65,3.61,1.35,6.25,1.52,1.73,2.12,3.51,7.37,1.19,3.42,1.92,2.36,3.3,2.79,3.43,4.82,1.39,4.64,2.86,2.36,4.18,4.89,1.25,1.3,3.64,2.87,1,0.72,1.44,2.27,0.33,5.3,3.91,1.8,1.7,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.6,2.73,0.61,6.59,2.09,2.36,2.74,1.09,1.74,1.26,3.84,2.37,2.48,2.06,0.49,2.06,3.2,0.5,1.14,4.3,3.34,1.59,2.46,2.72,2.38,6.01,1.65,2.96,1,1.7,1.9,5.36,2.86,0.82,7.18,1.51,0.23,3.16,2.74,3.25,4.83,2.97,5.49,3.06,2.27,1.97,0.88,1.85,0.2,2.46,1.89,2.93,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,5.11,4.84,3,3.84,0.69,4.85,3.31,2.89,3.5,2.57,8.9,3.15,1.93,5.75,7.63,3.08,8.45,4.2,5.43,4.64,5.56,2.15,4.36,7.11,4.8,1.71,0.63,3.17,0.74,1.07,6.94,4.31,4.08,2.79,2.72,7.16,4.56,1.53,0.57,6.4,1.9,2.15,5.47,1.76,3.37,4.24,6.27,5.34,1.17,4.08,3.85,4.92,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
