BROUGHTON-POGGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP234037,Long,-1.6625765,Lat,51.731529,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,2.9,2.95,2.25,1.77,3.68,1.68,3.89,2.88,3.85,1.06,3.74,1.37,2.21,1.78,2.02,0.52,3.14,3.44,3.09,5.22,2.93,3.05,3.26,4.45,1.76,1.85,1.81,1.14,4.82,1.1,0.47
February,0.85,0.48,3.16,4.17,0.34,2.99,1.96,3.59,2.34,0.63,0.57,1.98,0.11,3.13,0.25,2,1.78,4.34,0.87,1.08,1.99,2.56,0.73,0.99,1.03,1.78,2.64,1.33,1.3,1.02,4.38
March,2.23,1.28,2.33,2.73,1.11,0.4,0.85,2.81,1.97,0.13,1.79,0.19,2.01,2.92,1.83,0.58,2.11,2.64,0.28,1.59,2.24,3.06,1.9,1.16,0.33,1.01,1.07,6.44,0.9,1.59,1.12
April,5.11,1.03,3.06,1.98,2.72,1.22,2.32,1.72,0.96,1.22,2.58,3.16,2.77,1.36,2.63,3.64,1.18,3.17,0.06,3.4,2.11,1.01,1.15,0.75,1.56,1.02,1.67,2.53,1.85,1.31,2.33
May,2.16,1.66,0.79,1.2,6.05,4,2.69,1.18,1.02,1.73,1.44,4.46,6.05,1.12,0.8,1.86,0.49,2.5,2.12,1.29,1.73,1.56,4.46,2.73,1.11,2.58,3.57,1.93,4.18,2.45,2.94
June,2.73,0.47,1.21,0.36,2.73,0.12,2.09,3.36,2.6,1.29,1.35,3.66,0.99,1.66,1.3,3.76,2.48,1.3,1.39,2.25,0.73,1.88,0.21,2.19,2.07,3.45,2.46,1.36,1.91,0.49,1.8
July,4.7,0.31,4.95,2.23,3.59,2.84,1.94,2.55,3.06,1.11,3.12,3.47,2.9,1.35,2.32,0.93,5.68,1.74,1.97,4.51,3.26,2.57,2.08,1.37,2.78,1.93,1.02,2.92,0.84,1.85,3.6
August,0.98,1.76,5.13,1.95,3.19,3.25,1.51,3.64,1.96,1.61,2.09,4.16,1.58,1.15,1.79,2.16,0.45,0.36,3.44,1.75,0.16,4.09,4.83,2.48,2.06,2.24,5.36,0.45,5.81,1.46,4.26
September,1.86,1.85,1.76,2.5,4.31,3.06,1.42,6.14,0.94,0.28,3.72,1.61,3.12,2.22,1.81,5.78,3.45,2.03,2.71,1.98,1.49,0.81,1.84,1.17,2.87,1.37,3.49,1.47,2.18,2.75,3.7
October,2.45,1.47,0.94,4.57,4.3,3.13,2.55,1.53,3.95,3.81,1.51,0.73,4.44,2.12,1.51,4.98,1.55,3.48,3.71,4.01,2.85,1.79,3.32,2.83,3.53,3.28,0.85,0.37,3.17,4.52,
November,0.73,2.12,1.7,1.58,2.02,1.8,5.57,2.77,3,5.99,3.33,3.49,1.75,0.72,1.88,4.99,2.81,1.54,2.75,4.82,7.42,2.36,2.23,1.72,3.79,0.28,5.46,1.58,1.64,2.7,
December,2.41,1.5,3.05,3.04,4.2,2.75,0.5,3.18,2.52,5.28,3.2,1.38,0.65,0.49,5.2,3.15,2.68,1.79,2.75,2.06,1.18,1.68,3.04,0.95,0.85,3.67,1.96,1.54,3.47,1.33,
Total,29.11,16.88,30.33,28.08,38.24,27.24,27.29,35.35,28.17,24.14,28.44,29.66,28.58,20.02,23.34,34.35,27.8,28.33,25.14,33.96,28.09,26.42,29.05,22.79,23.74,24.46,31.36,23.06,32.07,22.57,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Dec IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
