PORTHKERRY-BUTTRILL,,,,,,,,,,,,,,,,,,,,
Grid ref,ST113685,Long,-3.2766877,Lat,51.408561,Elevation,255,ft,,,,,,,,,,,,
Station no,RR7472,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.17,4.46,1.92,0.79,0.27,0.53,2.36,3.54,,,,,,
February,,,,,,,4.61,,1.62,4.37,3.42,3.36,2.08,2.68,,,,,,
March,,,,,,,4.26,,2.4,0.9,1.69,3.41,1.8,0.88,,,,,,
April,,,,,,,2.68,3.09,4.07,3.16,2.22,1.91,3.42,0.54,,,,,,
May,,,,,,,0.22,1.68,3.85,3.44,0.91,2.86,1.88,1.7,,,,,,
June,,,,,,,2.1,1.07,1.93,5.7,2.89,2.96,4.47,1.78,,,,,,
July,,,,,,5.05,0.92,5.46,1.68,4.1,6.71,1.42,4.03,3.39,,,,,,
August,,,,,,3.9,4.79,5.53,5.78,7.04,1.16,6.52,6.6,2.58,,,,,,
September,,,,,,4.65,6.3,2.51,2.49,4.23,1.34,2.7,2.58,5.97,,,,,,
October,,,,,,7.16,3.23,3.99,5.61,2.01,5.35,2.76,9.58,3.55,,,,,,
November,,,,,,7.42,4.75,7.17,2.52,0.53,2.85,4.48,5.32,6.26,,,,,,
December,,,,,,1.4,5.95,2.45,4.38,1.94,6.3,4.78,6.01,2.19,,,,,,
Total,,,,,,,41.98,,38.25,38.21,35.11,37.69,50.13,35.06,,,,,,
