BENZIEN CRAIG,,,,,,,,,,
Grid ref,NS723067,Long,-4.014873,Lat,55.337703,Elevation,990,ft,,
Station no,5030/9/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.26,9.88,8.84,4.18,7.02
February,,,,,,1.05,6.15,5.85,2.47,8.92
March,,,,,,3.09,5.35,1.62,5.78,1.9
April,,,,,3.7,1.91,2.47,2.18,5.6,6.67
May,,,,,4.78,2.9,4.11,4.61,1.63,2.72
June,,,,,3.2,6.78,1.38,4.2,3.7,4.2
July,,,,,3.14,8.42,4.27,3.75,5.53,3.88
August,,,,,2.8,7.72,5.02,5.5,1.1,4.63
September,,,,,6.5,8.78,3.39,6.79,1.65,4.02
October,,,,,4.2,2.45,5.72,4.39,9.68,5.1
November,,,,,4.2,2.19,2.67,1.44,9.64,12.76
December,,,,,7.39,9.64,6.78,7.38,12.32,9.44
Total,,,,,,60.19,57.19,56.55,63.28,71.26
,,,,,,,,,,
13212,BENZIEN CRAIG ,NS7238206697,01/01/1955,31/12/1992,,,,,,
