"CUPAR CLATTO RESERVOIR",,,,,,,,,,,,
Grid ref,NO365078,Long,-3.026586,Lat,56.258439,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.78,4.00,1.97,0.47,3.00,1.20,2.54,2.31,,
February,,,1.07,4.63,4.05,0.66,1.10,1.18,0.83,1.02,,
March,,,1.24,3.38,1.31,3.24,1.46,1.71,3.96,3.41,,
April,,,1.57,0.88,2.01,1.64,0.75,1.59,1.35,3.92,,
May,,,1.97,1.09,2.58,1.94,6.17,3.44,2.51,2.34,,
June,,,2.17,1.93,1.29,0.69,1.35,4.38,1.12,2.18,,
July,,,3.31,4.75,1.44,1.42,1.26,2.96,3.23,4.78,,
August,,,2.45,4.93,5.64,3.93,4.66,3.63,1.53,2.01,,
September,,,1.47,2.95,2.63,1.63,1.15,1.22,7.05,1.81,,
October,,,1.65,5.80,1.02,1.72,4.91,7.21,3.27,4.76,,
November,,,2.43,1.47,0.71,5.73,3.58,1.67,2.15,0.50,,
December,,,3.33,2.05,1.81,1.77,1.39,3.50,1.21,3.51,,
Total,,,23.44,37.86,26.46,24.84,30.78,33.69,30.75,32.55,,
Calc annual,0.00,0.00,23.44,37.86,26.46,24.84,30.78,33.69,30.75,32.55,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
