CUPAR (CLATTO RESERVOIR),,,,,,,,,,,,,,,,,,,,
Grid ref,NO366078,Long,-3.024972,Lat,56.258452,Elevation,505,ft,,,,,,,,,,,,
Station no,5488/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,0.78,4,1.97,0.47,3,1.2,2.54,2.31,2.8,1.01,2.3,2.64,1.97,,,,,
February,,,1.07,4.63,4.05,0.66,1.1,1.18,0.83,1.02,2.67,1.6,2.49,1.41,2.54,,,,,
March,,,1.24,3.38,1.31,3.24,1.46,1.71,3.96,3.41,1.56,1.24,2.8,3.16,3.86,,,,,
April,,,1.57,0.88,2.01,1.64,0.75,1.59,1.35,3.92,2.75,0.85,0.1,2.22,0.93,,,,,
May,,,1.97,1.09,2.58,1.94,6.17,3.44,2.51,2.34,1.31,0.98,1.38,2.69,2.88,,,,,
June,,,2.17,1.93,1.29,0.69,1.35,4.38,1.12,2.18,1.48,2.05,3.96,1.94,0.95,,,,,
July,,,3.31,4.75,1.44,1.42,1.26,2.96,3.23,4.78,3.26,1.65,3.1,1.43,1.45,,,,,
August,,,2.45,4.93,5.64,3.93,4.66,3.63,1.53,2.01,8.24,1.07,4.93,1.6,3.5,,,,,
September,,,1.47,2.95,2.63,1.63,1.15,1.22,7.05,1.81,1.25,1.29,1.33,2.21,0.66,,,,,
October,,,1.65,5.8,1.02,1.72,4.91,7.21,3.27,4.76,2.69,2.41,3.68,2,2.86,,,,,
November,,,2.43,1.47,0.71,5.73,3.58,1.67,2.15,0.5,3.2,3.91,1.66,2.09,4,,,,,
December,,,3.33,2.05,1.81,1.77,1.39,3.5,1.21,3.51,2.23,3.72,3.32,1.63,5.61,,,,,
Total,,,23.44,37.86,26.46,24.84,30.78,33.69,30.75,32.55,33.44,21.78,31.05,25.02,31.21,,,,,
