"ACCRINGTON, MILNSHAW GROUNDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD753290,Long,-2.376103,Lat,53.756769,Elevation,464,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,5.37,2.27,7.21,1.6,1.85,1.97,4.88,1.53,3.86,1.39,4.23,2.86,1.69,1.14,,5.29,5.32,3.59,4.62,4.42,4.53,1.99,5.3,2.01,3.91,2.81,5.36,2.53,4.16,,,6.21,3.87,2.77,3.6,4.85,4.14,7.3,3.44,4.51,3.22,3.19,5.56,4.87,9.92,2.24,6.25,6.27,5.3,,,,,,,,
February,,,,,3.89,4.11,0.77,1.38,1.07,2.19,0.57,0.51,3.11,5.74,5.46,0.5,2.26,2.56,,1.79,4.26,2.14,1.74,4.74,4.31,2.78,3.6,2.63,3.71,3.06,4.84,4.79,1.74,,,6.59,4.44,1.08,5.53,1.02,4.13,0.42,4.65,7.37,1.07,7.02,3.88,2.21,5.01,0.87,0.5,4.81,0.18,,,,,,,,
March,,,,,3.02,3.16,2.94,1.27,3,2.98,2.1,1.93,0.98,1.15,3.03,3.4,6.18,4.53,,2.75,1.06,2.31,2.94,6.47,2.57,3.09,3.32,4.15,3.08,2.19,1.01,2.25,6.18,,,1.88,2.11,2.86,1.5,6.37,4.45,3.47,2.47,1.58,1.82,1.95,2.38,4.34,3.77,1.18,2.9,0.66,2.95,,,,,,,,
April,,,,,0.71,2.21,2.77,2.5,1.57,2.47,1.14,2.3,1.75,0.62,1.91,2.57,1.95,2.7,,3.4,3.25,2.76,3.03,2.6,3.19,3.68,1.52,2.23,2.43,3.88,3.78,3.01,0.9,,,2.35,3.52,2.64,1.06,2.55,4.99,1.81,2.7,4.14,1.63,2.65,1.63,3.6,1.05,0.81,2.95,3.44,3.51,,,,,,,,
May,,,,,1.9,2.09,4.76,2.32,0.85,2.74,2.06,2.69,4.08,2.21,2.96,0.84,0.51,1.68,,2.78,2.87,1.17,3.49,2.98,2.58,0.53,3.87,3.31,2.78,2.48,3.38,3.35,2.08,,,1.52,2.4,1.62,1.9,1.8,5.26,1.76,1.51,3.79,5.32,3.84,3.05,1.42,1.36,2.93,1.9,2.52,4.01,,,,,,,,
June,,,,,1.09,3.43,2.15,0.85,2.1,2.29,3.83,1.34,2.9,2.68,3.16,2.97,2.54,3.29,,1.32,3.88,1.72,1.13,1.2,1.61,2.44,1.48,7.3,2.03,2.74,2.52,5.18,5.25,,,1.31,2.27,2.54,2.42,1.05,2.33,0.43,2.89,1.03,2.31,0.01,2.19,4.23,5.62,1.52,3.65,5.36,0.93,,,,,,,,
July,,,,,4.43,1.79,4.08,1.75,6.23,3.16,2.31,2.31,2.08,5.04,5.04,5.35,2.26,1.74,,1.94,,1.18,3.71,3.65,2.32,2.91,2.06,2.08,3.63,5.86,3.48,0.5,4.56,,,4.49,2.58,2.08,3.28,2.62,6.04,1.82,5.15,4.24,3.8,1.77,2.09,4.34,2.28,3.22,5.34,3.57,3.99,,,,,,,,
August,,,,,1.9,2.15,1.79,2.1,3.26,5.96,5.37,7.55,4.89,2.33,4.67,3.83,2.37,4.67,,1.45,2.47,2.16,2.87,5.25,4.22,2.55,2.72,4.19,3.53,3.1,6.25,2.98,7.19,,,4.57,2.86,5.12,3.65,3.86,2.06,5.67,5.24,6.2,6.07,3.72,3.69,5.32,7,4,7.37,4.82,1.1,,,,,,,,
September,,,,,2.79,4.51,3.73,5.71,1.17,4.79,3.02,3.71,4.09,5.84,0.67,1.53,6.79,3.69,,8.35,1.85,1.17,1.8,2.38,1.35,3.15,1.45,0.86,3.55,2.72,0.54,4.37,2.54,,,0.88,2.5,2.23,12.86,2.42,2.39,1.65,3.28,5.64,4.25,3.6,4.58,7.18,0.95,1.89,3.44,4.79,6.18,,,,,,,,
October,,,,,2.95,6.57,5.78,2.37,2.47,3.86,3.07,3.85,5.17,4.97,3.81,4.55,4.31,2.21,,2.85,6.28,3.97,4.39,9.6,2.09,3.73,6.58,3.83,1.49,4.82,3.24,3.22,4.7,,,0.99,9.01,8.47,3.91,2.56,1.31,3.22,0.85,5.58,4.28,5.3,3.59,3.94,5.6,6.36,6.53,2.78,7.32,,,,,,,,
November,,,,,1.44,1.31,3.48,2.19,7.06,2.06,7.69,4.8,2.33,4.09,2.76,3.48,1.51,3.81,,2.9,1.35,6.91,2.18,3.18,3.7,5.45,4.84,2.52,3.84,1.91,4.94,4.24,3.58,,,1.74,3.24,5.03,3.39,3.89,2.15,2.05,3.33,6.17,2.69,3.21,7.48,4.38,7.11,8.49,5.82,7.55,2.69,,,,,,,,
December,,,,,6.51,1.52,7.35,2.79,2.87,3.29,0.38,8.5,2.74,4.98,3.61,4.83,4.76,4.29,,3.66,4.51,5.81,4.32,3.16,3.05,0.98,5.14,4.46,2.57,6.51,4.84,8.42,4.98,,,7.78,3.98,2.97,8.2,8.22,2.75,6.58,5.49,5.44,6.05,3.96,2.33,1.27,2.93,9.6,4.19,1.95,1.8,,,,,,,,
Total,,,,,36,35.12,46.81,26.83,33.5,37.76,36.42,41.02,37.98,41.04,41.31,36.71,37.13,36.31,,38.48,,34.89,36.22,49.63,35.52,33.28,41.88,39.57,36.55,42.08,44.18,44.84,47.86,,,40.31,42.78,39.41,51.3,41.21,42,36.18,41,55.69,42.51,40.22,42.45,47.1,52.6,43.11,50.84,48.52,39.96,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900 July no value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
