GRINDSLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK119867,Long,-1.8225872,Lat,53.377023,Elevation,940,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2690/3/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,4,,6.9,8,,6.15,3.7,12.2,4.1,4.8,7.26,6.2,3.2,6.2,3.85,,3.5,5.7,4.2,8.75
February,,,,,,,,,,,6.2,2.75,5.32,4.74,6.8,9.6,4,4.1,3.1,7.9,6.07,3.72,2.9,4.3,,2.34,,9.6,0.77,3.9
March,,,,,,,,,,3.78,6.25,3.01,1.91,1.32,1.89,2,8.5,2,1.97,2.6,8.1,3.1,4.1,3.5,4.9,2.3,4.2,3.35,,2
April,,,,,,,,,,4.34,3.08,2.59,3.12,3.75,3.07,1.5,4.1,3.2,6.1,6.2,3.1,3.8,3.9,1.24,2.8,2.2,0.7,1.8,,3.2
May,,,,,,,,,,1.02,3.5,4.44,3.75,5.5,4.12,1.6,4.75,1.6,2.9,2.1,2.6,4.7,2.42,3.9,6.4,1.3,,,0.83,2.22
June,,,,,,,,,,1.42,3.18,1.24,4,4.44,4.35,5.39,2.6,7.1,1.24,2.65,2.2,3.45,3.85,3.71,4.1,3.95,1.57,4.9,2.94,1.62
July,,,,,,,,,,6.06,4.7,6.44,2.65,4.53,2.29,5.05,3.3,3.1,2.9,3.3,,4.5,6.52,8.5,1.1,8.2,5.8,6.2,4.2,8.42
August,,,,,,,,,,3.15,7.95,4.48,5.95,3.64,3.9,5.6,0.5,6.1,3.3,3.8,6.1,2.25,5.3,7.69,0.85,9.5,,3.6,0.42,5.34
September,,,,,,,,,,4.59,0.78,3.75,5.25,6.25,3,6.9,2.64,3,2.25,7,3.2,7.1,3.07,6.1,2.4,4.7,9.5,5.6,0.18,4.45
October,,,,,,,,,,4.62,6.35,9.2,3.07,6.75,8.7,1.5,1.3,3.2,4.9,2.6,1.4,6.6,2.4,8.76,3.89,4.9,4.2,4.6,,5.8
November,,,,,,,,,,10.28,4.55,1.98,6.75,8.75,0.85,9.25,7.2,3.1,8.08,7.8,12,4.8,3.3,8.4,2.9,2.7,3.32,1.6,5.2,7.55
December,,,,,,,,,,7.36,4.33,5.2,2.75,4.93,3.92,5.6,6.4,4.4,9.2,3.5,7.5,5.4,2.55,10.37,7.1,7,6.7,5.1,7.9,
Total,,,,,,,,,,,54.87,,51.42,62.6,,60.14,48.99,53.1,50.04,54.25,,55.62,43.51,72.67,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3280 GRINDSLOW Start 1940 end 1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record and is north of Grindslow House. Stated altitude is about 50 ft. too low or the gauge is about 150m S, nearer the house",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
