NARBOROUGH-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF748130,Long,0.58469,Lat,52.686482,Elevation,45,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1469/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.27,4.29,1.27,2.18,3.41,4.05,2.27,2.67,1.48,1.83,3.82,0.98,1.1,2.8,2.25,1.19,1.63,2.07,3.38,1.67,2.18,3.09,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,0.62,1,2.13,2.94,1.34,0.53,1.28,1.88,3.2,1.26,0.78,0.82,3.48,2.33,1.06,1.47,2.18,2.39,1.34,2.91,3.77,0.2,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,0.41,2.64,2.03,2.97,1.94,0.44,0.31,1.45,0.83,5.09,0.67,1.03,0.51,3.67,2.79,1.11,2.55,1.66,0.8,1.97,0.94,1.43,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,0.56,1.9,1.61,0.78,0.94,1.19,1.62,1.52,0.98,1.64,1.3,1.92,2.48,2.93,1.63,2.05,0.15,0.78,0.9,0.21,0.73,1.49,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.94,0.56,1.26,2.18,2.15,1.81,1.08,1.93,1.13,0.45,2.71,2.44,2.53,2.07,1.94,1.48,2.95,2.15,1.04,0.99,3.14,0.47,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.09,1.99,0.42,0.97,1.15,2.02,2.26,2.08,2.73,2.59,3.18,0.79,1.97,1,0.95,4.5,1.89,2.11,2.41,2.3,2.44,1.18,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,2.03,1.84,2.81,2.6,3.39,0.87,1.9,1.31,2.8,1.52,1.89,2.07,4.09,1.04,0.56,2.46,2.87,0.22,3.16,3.36,4.15,2.88,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.14,1.96,0.71,4.01,1.74,1.71,1.28,2.37,3.11,0.07,2.95,1.62,3.31,3.12,3.38,2.49,5.04,0.78,4.04,3.75,3.31,1.78,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.32,2.08,0.95,0.48,2.08,1.71,4.64,2.44,2.84,1.23,1.6,1.03,3.11,2.37,2.71,1.13,2.43,1.54,1.37,3.86,2.42,0.03,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,2.91,4.05,1.91,2.75,3.33,1.53,3.39,3.01,2.13,0.26,3.19,4.07,1.17,0.73,2.55,2.6,2.23,3.01,1.84,1.65,2.13,2.06,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
