"BALLANTRAE (LAGAFATER LODGE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5273,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,7.32,10.67,8.78,7.49,8.82,4.98,10.34,8.01,12.86,3.77,9.37,
February,4.96,1.36,8.14,8.99,2.86,7.38,6.78,4.58,5.29,3.78,0.70,
March,6.47,8.80,2.53,3.52,1.45,2.54,3.64,7.48,8.10,2.11,5.09,
April,5.69,2.95,5.17,2.94,3.95,5.64,2.58,4.86,3.55,1.53,3.35,
May,7.04,3.99,4.21,5.70,4.58,7.08,4.70,3.94,2.31,7.20,1.43,
June,4.63,1.27,4.47,3.33,3.53,0.27,3.33,7.15,7.29,3.91,3.33,
July,5.99,6.10,5.09,5.96,5.69,4.08,4.74,4.62,3.71,4.85,4.44,
August,5.84,6.89,6.05,11.31,7.55,4.42,5.01,5.30,6.86,8.74,10.02,
September,3.91,3.44,4.82,8.32,9.10,5.88,5.31,9.17,3.90,2.18,5.09,
October,6.85,6.01,3.19,8.50,4.60,7.96,6.85,6.97,10.47,8.70,8.89,
November,5.64,7.16,6.99,8.05,6.56,3.44,7.44,7.56,11.02,11.20,7.36,
December,7.18,9.01,4.98,12.00,7.57,6.14,4.22,2.39,8.08,13.87,7.31,
Total,71.52,67.65,64.42,86.11,66.26,59.81,64.94,72.03,83.44,71.84,66.38,
Calc annual,71.52,67.65,64.42,86.11,66.26,59.81,64.94,72.03,83.44,71.84,66.38,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
