"BIGGAR CAMBUS WALLACE",,,,,,,,,,,,
Grid ref,NT047385,Long,-3.515210,Lat,55.630695,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.70,1.90,2.12,4.40,3.00,0.85,3.42,1.30,3.24,3.32,,
February,2.70,1.40,0.92,3.42,2.00,1.40,1.50,1.32,1.45,1.70,,
March,0.60,1.68,1.38,5.06,1.50,3.40,2.30,2.02,4.75,3.45,,
April,2.30,1.91,1.34,1.08,3.50,2.40,0.70,1.32,1.20,2.17,,
May,1.58,1.48,1.50,1.61,2.65,1.20,4.79,2.75,2.10,1.87,,
June,2.78,2.00,1.15,1.20,1.70,0.90,1.30,3.05,1.60,2.10,,
July,2.50,1.05,2.88,3.76,2.30,1.98,1.98,3.15,2.20,4.10,,
August,3.80,4.00,1.53,4.50,3.60,3.60,6.50,3.80,2.25,1.70,,
September,2.24,1.48,2.25,2.00,2.00,1.40,0.60,0.90,4.95,2.45,,
October,4.32,2.88,1.15,6.00,1.90,2.05,5.70,7.32,0.62,5.62,,
November,3.50,2.88,1.35,2.12,2.15,2.85,2.80,2.30,2.25,0.67,,
December,6.07,4.80,3.40,2.85,2.70,1.75,2.05,3.40,1.35,3.62,,
Total,36.09,27.46,20.97,38.00,29.00,23.78,33.64,32.63,27.96,32.77,,
Calc annual,36.09,27.46,20.97,38.00,29.00,23.78,33.64,32.63,27.96,32.77,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
