SWANSEA-KILLAY-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS607929,Long,-4.013452,Lat,51.617638,Elevation,265,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,7.15,6.51,3.05,2.32,5.64,6.35,1.78,8.74,2.63,3.15,2.2,5.72,2.03,6.2,7.55,2.69,5,3.86,1.86,5.69,7.16,7.14,6.18,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,4.04,6.23,1.3,1.81,2.81,5.49,1.33,4.25,3.32,3.57,0.34,5.06,3.99,3.81,1.91,5.6,6.88,5.38,2.66,4.06,4.49,1.71,0.17,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,2.13,1.19,2.58,3.44,7.43,2.08,6.9,3.4,1.92,4.1,5.06,1.05,2.43,7.9,7.23,6.89,1.25,2.35,2.38,3.08,5.94,5.95,4.45,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,4.99,2.62,4.57,2.63,2.4,2.86,4.21,1.51,3.39,3.13,3.14,2.67,3.33,0.19,6.06,1.38,2.01,1.83,2.38,2.34,1.76,6.2,1.21,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.46,2.36,1.1,2.59,2.77,3.27,0.52,5.69,3.23,2.79,1.93,2.88,2.33,2.58,3.49,2.57,2.77,4.02,2.76,2.12,1.45,3.61,2.3,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.42,4.77,3.41,4.16,1.14,2.05,2.86,2.39,5.23,1.22,1.95,4.2,3.17,4.81,3.12,1.55,1.95,4.06,3.4,1.55,2.41,3.97,0.22,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.85,2.6,1.59,2.56,3.36,3.08,2.53,2.43,3.07,5.54,3.3,5.58,0.4,4.87,0.87,6.57,5.29,2.21,5.12,4.86,0.92,7.97,2.23,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.23,4.58,3.8,2.62,7.9,4.46,6.27,4.77,6.9,5.35,2.15,5.45,3.63,9.95,1.52,5.75,2.91,3.45,8.58,3.32,3.32,2.42,5.89,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.66,2.05,4.06,3.16,5.58,4.56,2.06,1.82,1.3,3.75,4.62,0.29,3.2,0.64,3.56,4.62,1.3,3.16,3.34,11.56,2.68,5.36,2.88,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.05,7.16,4.79,5.06,11.73,3.58,2.26,10.01,7.62,2.65,8.33,3.85,3.41,6.78,5.27,2.4,4.42,11.2,7.35,4.91,2.31,6.09,2.52,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
