UPTON-SCUDAMORE-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST862482,Long,-2.199034,Lat,51.232816,Elevation,305,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1476/5/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.76,3,2.6,0.89,4.84,5.53,3.25,6.28,2.74,3.12,4.16,6.47,2.18,1.85,3.01,3.42,5.84,1.02,0.42,3.63,3.27,1.01,1.67,3.62,4.39,1.79,2.94,4.7,3.71
February,,0.06,3.75,0.17,2.55,2.71,5.91,0.92,1.89,2.87,2.95,0.46,1.59,0.73,2.58,3.05,1.36,1.22,1.67,6.26,5.62,1,1.87,3.26,1.91,0.2,4.71,3.14,0.25,3.02
March,,1.67,4.23,2.22,1.24,3.26,4.08,0.07,1.52,2.11,3.62,2.26,0.89,0.38,1.14,1,6.49,1.31,1.26,1.36,3.47,3.34,0.83,3.34,1.47,1.03,1.9,1.2,3.61,2.33
April,,2.81,0.92,1.92,4.33,2.41,2.39,0.11,3.17,2.85,1.42,2.03,0.67,1.35,0.87,2.7,2.73,1.47,1.76,3,3.31,2.1,2.66,0.2,0.71,1.49,0.35,1.01,2.97,1.43
May,,5.48,1.08,1.1,1.23,0.68,2.38,1.44,1.02,1.22,1.71,5.42,2.97,0.56,2.63,4.62,2.37,4.21,2.96,1.74,2.72,5.17,2.29,2.24,4.04,0.36,1.85,2.56,3.78,1.26
June,,0.18,0.59,1.22,4.32,3.08,1.39,0.98,2.27,0.9,2.15,0.43,1.56,2.2,3.78,2.65,1.9,2.11,0.26,2.08,1.53,1.56,1.59,4.1,3.43,1.76,1.96,4.23,1.36,3.22
July,,5.15,3.09,1.48,0.68,5.79,2.07,4.01,4.71,2.54,1.67,2.24,2.76,3.33,1.56,0.92,1.83,1.4,2,4.58,1.56,0.85,3.62,2.97,0.19,2.7,4.06,2.47,1.99,3.35
August,,0.82,1.12,2.39,1.85,0.53,0.95,2.91,2.7,0.19,5.03,3.85,3.19,2.41,2.1,4.73,0.64,3.94,1.82,3.7,5.4,4.17,2.04,4.45,0.31,3.4,2.98,3.31,0.97,5.31
September,,2.92,1.29,2.7,5.42,3.42,2.58,1.73,0.79,2.04,0.57,1.62,2.76,2.61,2.58,4.32,1.57,2.42,1.52,4.19,2.92,3.34,4.31,3.19,1.65,3.02,3.21,4.47,0.1,4.09
October,,6.62,1.99,2.68,4.67,1.94,4.56,4.97,3.31,4.36,1.76,3.92,3.92,5.68,4.6,1.28,0.67,3.71,7.58,1.69,0.75,4.37,3.29,2.66,2.34,2.02,2.35,2.57,2.93,6.93
November,,1.06,0.89,1.64,6.71,3.12,1.71,4.82,6.69,8.3,2.13,2.01,1.87,6.19,0.51,6.46,2.04,1.93,3.82,6.63,9.18,4.35,1.61,6.63,3.76,0.69,2.5,2.28,3.85,4.47
December,,1.65,0.73,8.78,4.2,3.54,3.08,4.19,2.29,1.72,1.98,4.51,2.54,3.52,4.34,3.37,2.39,6.03,2.04,2.09,2.81,2.87,0.78,2.75,4.24,4.08,2.82,3.57,7.43,5.21
Total,,32.18,22.68,28.9,38.09,35.32,36.63,29.4,36.64,31.84,28.11,32.91,31.19,31.14,28.54,38.11,27.41,35.59,27.71,37.74,42.9,36.39,25.9,37.46,27.67,25.14,30.48,33.75,33.94,44.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
