LIZARD (LLOYDS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW707124,Long,-5.1988,Lat,49.9684,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1896/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,5.24,1.64,3.51,1.48,1.05,2.04,4.23,1.16,3.93,6.59,1.35,4.03,1.11,2.79,4.3,6.11,4.08,3.21,4.48,1.79,4.32,3.64,4.28,5.75,5.17,2.49,5.07,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,6.55,1.05,4.64,1.52,1.78,0.54,4.68,1.82,5.02,1.13,4.03,6.24,6.51,0.95,1.33,6.19,0.7,0.43,3.23,6.83,1.7,5.43,3.33,,3.45,2.72,,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,2.25,4.2,1.14,0.82,4.69,4.8,0.53,3.85,3.83,,4.42,0.36,4.92,3.99,2.25,3.91,,2.55,2.78,1.52,2.18,0.64,1.05,2.98,4.73,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,0.96,2.07,0.87,4,1.55,1.38,2.4,1.46,0.21,3.5,1.94,1.49,0.88,1,1.27,2.46,2.92,0.76,2.96,3.66,2.7,2.44,2.08,2.3,2.83,1.39,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,2.18,0.07,1.51,2.1,1.71,0.62,1.98,0.57,1.43,3.19,0.38,3.11,1.23,1.77,1.06,-999,1.5,1.93,0.81,2.87,2.36,3.23,1.32,0.74,1.62,4.06,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,0.99,2.2,1.56,1.93,0.22,1.6,0.99,1.36,3.22,0.9,2.15,4.42,1.16,2.35,0.93,-999,2.68,0.22,0.64,0.38,1.62,0,3.1,3.09,1.52,2.69,,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,3.96,0.6,2.02,2.09,1.51,1.97,2.52,0.64,4,0.56,4.19,2.73,1.13,1.84,3.26,1.22,3.82,1.3,3.36,0.96,3.3,2.82,,2.38,2.08,1.26,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,3.06,3.8,1.43,1.35,2.78,1.41,3.06,2.3,6.95,1.47,3.36,1.6,3.28,5.43,2.47,-999,0.91,3.62,,1.65,1.82,4.44,1.78,3.11,1.36,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.53,1.94,1.12,2.21,3.02,1.28,0.28,4.03,0.84,2.14,1.7,1.19,1.14,2.63,6.27,-999,2.78,0.7,3.47,2.18,4.2,3.06,0.35,5.7,1.92,0.5,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.87,2.06,3.46,7.44,2.05,6.71,6.22,4.14,3.87,4.4,1.87,,5.78,4.67,2.56,-999,7.56,1.99,1.68,5.22,7.67,3,4.4,2.19,5.81,5.79,4.33,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
