"RHONDDA, FERNDALE SCHOOL",,,,,,,,,,,,
Grid ref,ST000970,Long,-3.447207,Lat,51.662853,,,,,,,
Station no,RR7473,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,3.32,6.58,3.24,,
February,,,,,,,,5.09,4.77,1.10,,
March,,,,,,,,4.56,6.56,6.94,,
April,,,,,,,,4.54,2.97,5.31,,
May,,,,,,,,4.79,5.23,2.27,,
June,,,,,,,,9.10,1.35,4.06,,
July,,,,,,,,3.22,6.13,4.85,,
August,,,,,,,,6.50,8.95,2.37,,
September,,,,,,,,1.87,4.90,5.42,,
October,,,,,,,,9.35,2.56,16.54,,
November,,,,,,,,5.61,4.87,3.89,,
December,,,,,,,,11.20,6.60,13.71,,
Total,,,,,,,,69.15,61.47,69.70,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.15,61.47,69.70,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
