RHONDDA-FERNDALE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST000970,Long,-3.4472073,Lat,51.662853,Elevation,830,ft,,,,,,,,,,,,
Station no,RR7473,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,3.32,6.58,3.24,11.15,4.09,8.61,,3.43,7.67,7.66,,,
February,,,,,,,,5.09,4.77,1.1,10.38,9.65,6.78,,14.89,13.34,9.1,,,
March,,,,,,,,4.56,6.56,6.94,3.26,3.34,9.31,,12.14,2,4.75,,,
April,,,,,,,,4.54,2.97,5.31,4.34,5.04,0,,1.63,2.64,2.45,,,
May,,,,,,,,4.79,5.23,2.27,3.34,3.32,2.78,,4.47,3.15,3.7,,,
June,,,,,,,,9.1,1.35,4.06,6.74,4.52,7.99,,1.94,2.11,-999,,,
July,,,,,,,,3.22,6.13,4.85,6.86,0.52,0.85,,8.43,7.97,-999,,,
August,,,,,,,,6.5,8.95,2.37,9.31,5.16,12.02,,5.47,4.21,-999,,,
September,,,,,,,,1.87,4.9,5.42,0.41,4.52,1.45,,3.75,0.79,-999,,,
October,,,,,,,,9.35,2.56,16.54,4.64,5.61,8.73,,3.96,0.71,-999,,,
November,,,,,,,,5.61,4.87,3.89,10.43,11.57,5.42,,4.17,10,7.61,,,
December,,,,,,,,11.2,6.6,13.71,11.97,18.78,15.94,,16.66,18.23,5.84,,,
Total,,,,,,,,69.15,61.47,69.7,82.83,76.12,79.88,,80.94,72.82,72.11,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1916 Jun-Aug -999 (11.50),,,,,,,,,,,,,,,,,,,,
1916 Sep Oct -999 (19.50),,,,,,,,,,,,,,,,,,,,
