KINLOCHQUOICH (OVERLAP GAUGE),,,,,,,,,,
Grid ref,NG 96135 00754,Long,-5.362984,Lat,57.052616,Elevation,675,ft,,
Station no,5709,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,8.37
February,,,,,,,,,,8.11
March,,,,,,,,,,5.5
April,,,,,,,,,,15.5
May,,,,,,,,,,4.55
June,,,,,,,,,12.75,7.45
July,,,,,,,,,14.52,6.42
August,,,,,,,,,13.4,7.71
September,,,,,,,,,5.51,8.41
October,,,,,,,,,18.57,1.84
November,,,,,,,,,13.53,12.04
December,,,,,,,,,16.22,15.52
Total,,,,,,,,,,101.42
,,,,,,,,,,
Midas 14616,,,,,,,,,,
Gauge conts to 1977,,,,,,,,,,
above resvr,,,,,,,,,,
