"KINLOCHQUOICH (OVERLAP GAUGE)",,,,,,,,,,,,
Grid ref,NG961007,Long,-5.363516,Lat,57.052116,,,,,,,
Station no,5709,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,-999.00,8.37,,
February,,,,,,,,,,8.11,,
March,,,,,,,,,,5.50,,
April,,,,,,,,,,15.50,,
May,,,,,,,,,-999.00,4.55,,
June,,,,,,,,,12.75,7.45,,
July,,,,,,,,,14.52,6.42,,
August,,,,,,,,,13.40,7.71,,
September,,,,,,,,,5.51,8.41,,
October,,,,,,,,,18.57,1.84,,
November,,,,,,,,,13.53,12.04,,
December,,,,,,,,,16.22,15.52,,
Total,,,,,,,,,-999.00,101.42,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.50,101.42,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1093.50,0.00,,
