RAWCLIFFE-BLACK-DRAIN-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE690207,Long,-0.95689043,Lat,53.678219,Elevation,10,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3176/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.81,3,1.77,3.96,3.08,3.07,3.33,3.47,2.53,2.56,1.75,2.35,4.22,0.92,1.35,1.4,1.12,0.52,1.14,1.52,3.23,0.89,2.11,1.8,4.26
February,,,,,1.89,2.21,2.69,1.32,0.85,2.24,2.92,1.32,0.72,1.87,1.95,2.15,1.69,1.1,0.58,3.65,2.12,0.45,1.54,1.66,1.84,1.43,1.56,3.35,0.29,1.53
March,,,,,0.77,0.84,2.13,0.25,1.71,1.67,2.57,1.47,0.42,0.3,0.48,0.68,3.64,0.46,1.19,1.28,2.25,1.84,0.28,1.37,2.43,0.93,1.3,1.69,0.68,1.14
April,,,,,1.77,1.1,3.28,0.08,1.17,1.87,1.15,0.85,0.88,2.43,1.57,1.11,1.54,1.21,1.97,2.21,0.78,0.81,1.44,0.21,0.99,1.91,0.17,0.41,2.36,0.76
May,,,,,0.51,1.41,2.83,2.37,1.58,0.6,1.57,,2.26,1.59,1.29,1.41,1.39,1.56,1.52,1.79,3.74,1,1.49,2.37,2.87,0.5,,1.8,,0.56
June,,,,,2.76,3.78,3.62,1.8,1.62,0.64,0.33,1.5,1.51,2.14,2.34,2.22,2.47,2.62,0.66,0.71,1.27,1.5,1.54,1.75,2.4,2.94,,3.45,,0.48
July,,,,,0.37,4.01,1.83,2.73,3.52,4.69,3.53,1.84,0.94,1.95,1.54,2.4,1.6,0.88,2.27,1.64,1.52,2.89,1.96,1.58,0.91,3.64,,4.67,,3.12
August,,,,,1.82,1.68,0.29,3.87,2.04,0.7,1.91,2.57,2.67,3.21,2.57,4.37,0.48,2.19,,3.41,4.61,1.02,2.47,4.74,0.59,5.31,,2.42,,2.32
September,,,,,3.68,1.7,1.1,1.76,0.98,1,0.41,1.37,3.25,3.93,1.04,2.9,1.14,0.95,,2.63,1.19,2.2,1.37,1.3,0.95,1.53,,1.57,,2.57
October,,,,,2.72,1.47,2.74,2.96,2.26,2.93,2.06,2.13,1.5,2.34,2.77,0.9,0.77,1.37,2.31,0.89,1.55,2.18,1.65,2.89,1.71,1.25,1.24,1.59,,5.7
November,,,,,4.08,2.6,1.39,2.37,3.34,4.14,2.99,0.87,1.71,3.62,0.28,4.3,1.18,0.7,3.3,3.53,4.5,1.88,1.44,4.03,1.49,0.66,2.08,0.63,,3.45
December,,,,,2.29,1.13,3.28,3.88,1.67,2.5,0.65,1.64,1.1,1.3,1.07,2.21,2.01,1.78,1.9,1.35,1.41,1.18,1.17,1.95,1.96,1.53,2.01,3.13,,1.89
Total,,,,,,24.74,28.18,25.16,24.7,26.06,23.16,,20.43,27.21,19.46,26.4,20.26,19.04,,24.44,26.34,18.07,16.87,24.99,19.66,24.86,,26.82,,27.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is on Black Drain and probably the location of the original pumping station; there is now a station 500m W. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note station number changed in 1937 from 3262/5 due to changing river divisions; no evidence the gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
