"STRATH KANAIRD (POWER STATION)",,,,,,,,,,,,
Grid ref,NC149013,Long,-5.130477,Lat,57.962372,,,,,,,
Station no,5783/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,4.89,4.96,2.34,6.05,7.41,7.91,8.99,5.31,,
February,,,3.65,2.73,3.67,5.93,3.09,8.02,2.56,2.33,,
March,,,3.13,2.06,1.79,1.85,4.59,2.67,2.63,1.06,,
April,,,3.57,2.14,3.25,3.31,3.61,5.18,5.73,3.67,,
May,,,3.80,3.78,3.40,3.71,2.04,6.70,2.74,1.24,,
June,,,2.41,5.00,2.55,3.47,3.76,2.53,3.96,4.17,,
July,,,6.97,8.93,0.87,5.50,3.90,1.94,9.03,3.92,,
August,,,6.13,2.32,0.70,6.68,6.79,4.32,4.03,4.61,,
September,,,5.54,5.31,6.15,2.98,8.01,3.32,2.19,2.66,,
October,,,2.46,8.24,7.68,6.91,10.58,6.41,7.60,2.00,,
November,,,9.58,5.79,2.54,6.70,4.71,3.34,5.48,3.83,,
December,,,4.01,8.40,6.68,7.60,12.60,5.28,3.28,6.47,,
Total,,,56.14,59.66,41.62,60.69,71.09,57.62,58.22,41.27,,
Calc annual,0.00,0.00,56.14,59.66,41.62,60.69,71.09,57.62,58.22,41.27,,
Difference,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
