"BROCKHAMPTON",,,,,,,,,,,,
Grid ref,SO687550,Long,-2.459303,Lat,52.192344,,,,,,,
Station no,2223,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,5.31,,
February,,,,,,,,,,2.12,,
March,,,,,,,,,,2.03,,
April,,,,,,,,,,1.42,,
May,,,,,,,,,,1.47,,
June,,,,,,,,,,2.11,,
July,,,,,,,,,,2.78,,
August,,,,,,,,,1.97,4.51,,
September,,,,,,,,,0.17,4.80,,
October,,,,,,,,,2.51,6.69,,
November,,,,,,,,,4.13,4.25,,
December,,,,,,,,,6.24,3.09,,
Total,,,,,,,,,,40.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.02,40.58,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
