BROCKHAMPTON COURT,,,,,,,,,,
Grid ref,SO687557,Long,-2.4593677,Lat,52.198637,Elevation,360,ft,,
Station no,2223,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,4.26,2.01,1.9,6.15,2.57,0.54,
February,,,,3.97,2.36,2.82,0.94,0.65,1.38,
March,,,,1.13,1.39,1.48,3.92,1.1,3.76,
April,,,,1.17,1.76,0.68,2.34,1.01,1.3,
May,,,,1.56,0.77,1.81,4.79,1.72,1.04,
June,,,,4.13,2.32,2.4,2.24,1.48,1.6,
July,,,,3.15,3,0.2,3.52,0.7,6.92,
August,,,,1,1.51,0.45,1.4,1.59,1.97,
September,,,,3.37,2.15,3.95,2.53,2.53,0.97,
October,,,,3.69,0.71,2.57,5.01,1.69,0.98,
November,,,,3.2,2.3,2.16,3.11,2.81,6.5,
December,,,,0.6,2.85,1.12,3.08,1.36,2.98,
Total,,,,31.23,23.13,21.54,39.03,19.21,29.94,
