ULLSWATER SHARROW BAY,,,,,,,,,,,,,,,,,,,,,,,
Grid Ref,NY459220,Long,-2.838719,Lat,54.59028,Elevation,600,ft,,,,,,,,,,,,,,,
Station no,3686,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,3.45,6.5,7,4.25,4.45,9.75,10.25,3.5,6.5,1,8,2.25,0.25,0.25,-999,2.5,9.25,7.5,2.34,5,4.25,,
February,3.75,3.24,6,5,2.15,7.5,1.25,3.75,0.5,4.5,2.5,2.75,3.75,7.25,-999,4.75,10.25,7,7.66,1,3.25,,
March,2.25,5.25,0,1,3.9,2.75,2.5,2.75,2,3.5,2.75,1.5,3.5,1.75,3.75,4.25,3.5,5.25,4,3.75,1.25,,
April,5,4,0.75,1,2,1.5,0,3.5,1,3,3,2.5,1.75,3,1.25,5.5,2.5,1.75,3,3,2.75,,
May,2.75,2,2.5,4.25,1,2,1.4,1.25,2.25,0.5,4,6.5,1.25,1,4,2.5,1,2.5,1.75,6.25,1.5,,
June,0.75,0.25,1.12,1.1,2.75,3.75,1.6,1.25,4,2.5,4,2.25,5,2.25,2.75,3.5,3.25,1.25,0.75,1.25,0,,
July,3.25,0.15,0.35,0.9,2.75,3.5,4.75,2.5,2.5,2,4,0.75,4.5,4.5,4.75,4,3.75,6.5,1,4.75,2.75,,
August,1.65,5,1.5,2,3,4,4,6.5,2.25,4,5.75,3.5,4.75,1,3.5,2.5,2.75,0.5,1,1.25,1.75,,
September,3.75,3.08,8.25,3.5,3.25,5.5,1.6,7.25,4.5,3.25,4.75,5,4,5,2.75,3.5,5,5.75,5.5,5.75,4.5,,
October,3.87,4.5,1.5,10.5,4.9,7.25,3.9,10.75,4,3.75,5,6,1.25,1.25,2.25,2.5,5,1.75,3.75,7,2,,
November,0.37,3,4.5,3.75,0.85,7.25,2.25,3.25,4,3,10.75,2.5,1,6.75,9.5,4.75,8,2.5,0.5,4.5,3.5,,
December,1.5,10.5,7,1.85,6,9.12,1.75,2.75,4,8.5,3,2.75,3,4,4.5,5,2.5,5.75,,7.75,4.75,,
Total,32.34,47.47,40.47,39.1,37,63.87,35.25,49,37.5,39.5,57.5,38.25,34,38,42,45.25,56.75,48,,51.25,32.25,,
,,,,,,,,,,,,,,,,,,,,,,,
1860s sheet still to be added,,,,,,,,,,,,,,,,,,,,,,,
IDR Jan-Feb 1881 bracketed (-999),,,,,,,,,,,,,,,,,,,,,,,
