HENDON-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ237877,Long,-0.21637249,Lat,51.574604,Elevation,153,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.18,2.27,0.32,2.27,1.07,1.05,2.41,3.67,1.92,2.01,2.64,1.17,2.61,1.65,2.72,1.67,3.42,1.1,2.27,1.24,1.56,1.7,1.34,0.81,4.29,,,,
February,,,1.74,0.59,1.68,2.94,3.06,0.81,0.76,2.66,0.33,0.16,1.87,3.05,0.41,2.69,2.86,3.21,1.35,0.53,0.9,1.55,0.17,1.73,0.26,2.12,1.64,,,,
March,,,2.8,1.36,3.36,0.77,4.91,1.47,0.71,3.29,1.02,1.18,1.21,2.43,0.75,0.54,0.19,2.29,1.41,0.01,1.72,0.29,1.31,2.35,2.18,0.3,0.67,,,,
April,,,0.08,2.34,0.37,0.98,1.06,2.13,3.28,2.77,2.7,1.05,2.48,1.62,2.75,1.74,3.32,1.9,1.28,1.33,2.16,3.54,1.85,0.88,2.14,2.83,1.18,,,,
May,,,1.22,1.7,1.8,2.96,1.86,2.17,2.33,0.27,0.64,1.08,0.74,1.6,3.49,1.94,2.04,1.28,2.41,1.53,2.52,2.69,3.72,1.57,0.74,0.98,,,,,
June,,,2.44,0.14,1.05,0.58,2.41,2.22,0.85,1.36,1.19,0.2,0.79,0.4,2.75,0.11,3.28,2.77,2.61,1.3,1.4,1.32,0.72,1.37,0.79,3.24,,,,,
July,,,1.3,1.58,1.32,4.93,1.1,3.9,3.51,2.19,4.03,0.09,2.35,2.69,5.71,3.74,2.11,3.37,2.1,3.2,1.54,2.88,2.16,1.02,0.91,0.62,,,,,
August,,,4.06,0.94,1.08,2.21,5.38,3.5,1.07,2.27,1.52,2.3,2.26,1.55,2.51,2.07,1.13,4.18,1.91,1.61,3.19,5.13,1.66,0.62,2.09,1.77,,,,,
September,,,1.7,1.21,0.76,2.09,1.35,1.48,5.2,1.48,2.86,2.56,1.94,1.21,3.31,2.44,0.95,4.39,0.83,0.29,3.1,2.77,2.06,1.72,2,3.34,,,,,
October,,,1.84,2.5,1.29,2.72,3.18,2.86,0.86,0.68,1.73,0.51,0.8,4.87,3.43,2.74,2.16,1.48,4.36,2.7,1.16,0.64,4.83,1.41,1.18,2.2,,,,,
November,,,1.22,1.83,2.31,2.37,4.22,1.27,1.97,1.36,1.24,1.77,1.29,1.43,2.34,1.72,4.98,2.79,2.08,5.56,3.95,2.33,1.37,1.1,1.95,4.29,,,,,
December,,,1.87,0.5,5.84,4.74,2.76,0.87,1.84,3.59,1.85,0.98,2.53,2.25,2.76,2.15,0.44,2.74,2.39,4.51,2.11,0.85,0.48,0.43,5.02,2.73,,,,,
Total,,,23.45,16.96,21.18,29.56,32.36,23.73,24.79,25.59,21.03,13.89,20.9,24.27,32.82,23.53,26.18,32.07,26.15,23.67,26.02,25.23,21.89,15.9,20.6,25.23,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Hendon Sewage Works. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1910s record adds ""Warner Road Cricklewood"" to title, but there is no road of this name and Cricklewood is 1 mile S ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280m from HENDON-COUNCIL-OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
