WRAXALL-BOYS-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST492716,Long,-2.73117,Lat,51.44173,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,3.86,1.5,1.6,1.67,2.99,1.29,4.4,6.08,1.6,3.46,2.37,0.64,4.15,4.91,3.36,3.78,,,,,,,,,
February,,,,,,,2.24,1.67,1.6,0.96,4.53,2.14,2.58,0.8,3.3,3.93,5.71,1.34,1.91,2.97,1.25,0.34,,,,,,,,,
March,,,,,,,2,0.81,2.89,3.52,0.66,2.67,4.72,4.01,4.93,1.43,3.98,4.08,1.64,5.39,2.42,2.08,,,,,,,,,
April,,,,,,2.43,1.15,3.45,3.21,2.48,2.77,1.9,0.26,2.88,1.47,1.7,1.18,1.93,1.44,2.33,4,0.87,,,,,,,,,
May,,,,,,0.1,2.37,3.06,2.65,1.47,2.04,0.67,2.53,2.63,1.93,3.92,3.68,2.59,2.4,0.4,2.07,2.34,,,,,,,,,
June,,,,,,4.09,2.51,3,0.58,4.63,5.39,2.46,4.27,0.95,2.28,1.12,2.92,2.67,1.29,1.39,4.07,0.26,,,,,,,,,
July,,,,,,0.54,1.22,3.05,2.03,2.97,2.1,0.16,4.95,0.83,5.02,5.87,1.02,2.65,5.42,2.66,5.31,0.72,,,,,,,,,
August,,,,,,2.76,2.62,2.45,3.97,3.03,6.63,1.9,8.05,1.23,2.48,2.65,5.21,6.91,2.76,2.88,2.31,2.82,,,,,,,,,
September,,,,,,1.11,0.76,0.72,2.74,3.21,0.3,1.35,0.47,3.79,2.02,2.01,1.71,3.21,11.14,2.03,2.61,3.94,,,,,,,,,
October,,,,,,2.07,5.49,5.62,1.45,6.95,4.51,2.59,4.49,2.95,2.15,4.47,6.62,6.14,2.01,2.35,3.03,1.73,,,,,,,,,
November,,,,,,2.41,3.07,3.03,0.99,1.42,4.69,3.56,2.15,3.08,3.77,2.42,3.13,1.24,2.44,2.2,1.97,2.45,,,,,,,,,
December,,,,,,1.25,1.59,5.56,2.24,5.55,4.91,6.49,6.51,2.14,5.78,6.36,4.51,0.67,5.36,5.12,3.31,2.36,,,,,,,,,
Total,,,,,,,28.88,33.92,25.95,37.86,41.52,27.18,45.38,31.37,36.73,39.34,42.04,34.07,41.96,34.63,35.71,23.69,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Given elevation of 80ft too low for school but steep slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 May 1 Gauge moved 20ft SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Low Not printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Inspection Site on hillside slope about 1 in 30 from N to S Must seriously affect readings New site suggested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Inspection Measure has irregular base making readings of .01 and .02 very doubtful ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data after 1922 deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
