WRAXALL BOYS SCHOOL,,,,,,,,,,,,
Grid ref,ST489718,Long,-2.736630,Lat,51.442874,,,,,,,
Station no,RR6273,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.86,1.50,1.60,1.67,,
February,,,,,,,2.24,1.67,1.60,0.96,,
March,,,,,,,2.00,0.81,2.89,3.52,,
April,,,,,,2.43,1.15,3.45,3.21,2.48,,
May,,,,,,0.10,2.37,3.06,2.65,1.47,,
June,,,,,,4.09,2.51,3.00,0.58,4.63,,
July,,,,,,0.54,1.22,3.05,2.03,2.97,,
August,,,,,,2.76,2.62,2.45,3.97,3.03,,
September,,,,,,1.11,0.76,0.72,2.74,3.21,,
October,,,,,,2.07,5.49,5.62,1.45,6.95,,
November,,,,,,2.41,3.07,3.03,0.99,1.42,,
December,,,,,,1.25,1.59,5.56,2.24,5.55,,
Total,,,,,,,28.88,33.92,25.95,37.86,,
Calc annual,0.00,0.00,0.00,0.00,0.00,16.76,28.88,33.92,25.95,37.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,,
