EAST-BUDLEIGH-BICTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY073859,Long,-3.3125,Lat,50.666,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,0.55,4.36,2.42,2.04,2.98,3.45,4.02,0.7,2.35,0.86,4.35,5.21,2.68,1.03,3.08,4,1.21,5.42,1.07,0.8,1.51,3.64,0.99,4.38,7.11,0.76,2.75,0.83,1.14,3.91,5.58,4.64,2.88,4.9,1.92,4.37,5.23,4.42,4.04,4.55,2.1,5.08,2.43,2.82,2.31,2.09,0.6,5.54,8.23,3.31,5.52,,,,,,,,,5.57,0.51,0.85,2.93,2.1,0.61,1.7,3.79,3.42,2.85,3.22,,
February,,,,,,,,,,2.06,1.18,0.01,1.66,4.41,1.46,0.67,0.5,3.7,1.98,4.05,4.17,1.12,1.72,1.49,5.94,1.13,3.55,1.36,1.8,0.42,4.58,1.51,3.24,0.96,3.56,5.91,5.62,1.22,1.48,5.31,0.6,0.3,2.65,6.56,1.4,3.82,2.57,3.38,2.81,2.33,1.39,2.03,0.07,4.47,0.06,3.2,2.97,6.21,0.85,1.44,,,,,,,,,1.05,1.35,5.13,4.22,0.6,1.74,3.25,1.97,0.14,4.37,3.53,,
March,,,,,,,,,,3.59,1.21,2.69,0.99,0.12,1.39,2.38,3.62,4.28,1.77,0.31,1.15,3.27,2.01,3.14,1.65,4.5,1.28,0.65,3.2,4.25,0.72,2.57,4.95,2.89,4.5,0.81,3.73,3.49,1.24,4.45,3.06,1.96,3.34,1.6,1.23,0.27,0.51,4.05,3.44,0.2,2.55,1.05,2.59,3.14,2.56,1.15,4.1,5.1,0.18,0.7,,,,,,,,,0.95,1.46,1.1,3.88,2.83,0.52,3.03,1.61,0.61,3,1.22,,
April,,,,,,,,,,1.79,3.53,1.34,1.28,0.3,2.31,1.93,0.32,3.38,1.14,2.81,1.68,3.29,1.39,2.18,0.93,2.09,1.3,5.04,2.68,2.8,2.51,1.73,0.13,3.45,1.47,0.84,0.71,1.58,1.92,2.05,4.32,0.85,2.96,2.59,2.7,2.76,2.45,2.03,1.32,0.79,3.45,1.64,2.53,2,2.9,3.47,2.33,2.71,0.06,2.52,,,,,,,,,2.14,1.05,1.95,1.45,2.65,2.96,0.17,1.01,0.59,0.04,0.3,,
May,,,,,,,,,,2.74,1.75,3.39,0.73,0.98,2.69,0.64,0.03,1.59,3.42,1.87,1.69,1.24,1.68,3.63,2.86,0.64,3.06,2.5,2.13,1.09,2.69,1.67,1.84,2.83,1.86,2.09,2.11,1.74,1.39,0.81,1.23,1.67,0.56,1.42,4.43,4.17,1.06,0.59,1.78,2.41,1.93,2.42,3.9,2.19,0.79,1.83,0.54,2.38,1.96,0.65,,,,,,,,,2.47,1.64,1.41,2.49,2.69,2.49,1.98,3.74,0.96,1.82,2.77,,
June,,,,,,,,,,0.53,2.53,2.27,1.43,0.67,2.19,1.56,1.88,2.4,0.97,1.1,2.3,1.63,2.77,2.13,0.9,2.76,2.11,2,0.64,3.16,1.86,2.52,5.45,0.46,1.71,1.9,1.39,1.8,0.88,0.97,2.27,0.57,0.57,0.38,2.84,0.03,3.33,2.04,1.95,2.67,0.15,3.23,3.63,2.75,1.79,3.47,1.86,0.93,1.73,3.09,,,,,,,,,0.98,0.53,0.61,0.73,1.43,2.14,3.59,3.33,1.56,1.12,3.57,,
July,,,,,,,,,,3.42,2.29,3.37,2.11,4.61,4.81,2.36,1.35,0.68,0.16,0.79,0.55,2,2.37,3.3,5.46,0.49,1.06,1.6,1.58,2.2,2.51,0.43,2.09,0.36,4.5,3.41,1.06,3,4.21,1.53,4.37,0.47,3.26,1.12,3.81,2.21,1.7,4.54,1.26,1.5,1.58,4.43,2.42,2.48,0.23,0.49,5.09,3.32,3.37,4.96,,,,,,,,,0.99,1.87,4.11,1.92,0.73,2.66,2.69,2.78,2.1,2.99,,,
August,,,,,,,,,,2.55,3.13,5.39,3.15,1.36,2.33,2.59,1.53,5.01,1.08,3.18,1.68,1.41,3.2,2.39,3.35,3.93,1.31,1.07,3.51,2.15,4.8,0.66,5.94,1.1,2.67,3.2,4.74,4.66,2.55,3.43,1.01,2.45,3.14,1.86,3.26,1.46,1.27,2.72,2.13,1.93,3.39,3.34,1.63,1.26,3.43,2.56,0.05,1.74,3.65,3.49,,,,,,,,,2.34,0.95,3.14,3.9,3.22,2,3.6,0.27,2.7,2.27,,,
September,,,,,,,,,,1.47,0.72,2.23,1.76,1.48,3.12,0.81,4.8,2.8,0.75,1.73,0.72,3.84,2.68,3.99,1.76,1.7,1.1,0.66,2.8,1.59,0.41,1.44,0.87,2.21,3.43,1.11,3.36,1.72,5.91,1.72,1.18,0.7,2.59,2.69,5.46,3.86,1.43,5.41,1.46,0.3,5.48,1.95,4.1,2.29,2.42,2.55,3.23,2.75,1.57,0.71,,,,,,,,,0.91,4,3.71,3.66,2.71,3.11,1.99,1.38,5.36,1.68,,,
October,,,,,,,,,,3.38,0.75,7.58,4.53,3.98,3.78,3.79,2.25,1,4.6,2.02,1.85,1.66,2.56,6.05,1.64,2.4,4.59,6.89,3.37,5.33,3.91,3.46,4.42,3.94,2.73,7.14,4.65,3.53,2.05,1.6,2.84,0.89,1.64,4.98,6.31,3.1,2.41,1.83,5.38,4.74,3.31,0.34,6.57,2.47,2.2,3.19,0.75,3.33,3.24,4.55,,,,,,,,,2.84,5.24,1.88,0.96,5.87,2.65,2.42,1.6,1.6,1.71,,,
