"EARLS BARTON VICARAGE",,,,,,,,,,,,
Grid ref,SP852638,Long,-0.752958,Lat,52.265771,,,,,,,
Station no,RR4402,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.31,1.07,0.75,1.89,,,,,,,,
February,4.60,0.97,1.35,0.81,,,,,,,,
March,0.88,2.24,1.12,2.75,,,,,,,,
April,0.81,2.24,1.23,1.72,,,,,,,,
May,1.38,1.49,1.96,4.49,,,,,,,,
June,2.80,2.33,2.11,4.22,,,,,,,,
July,1.73,2.75,1.40,2.51,,,,,,,,
August,2.27,1.68,2.60,4.07,,,,,,,,
September,0.50,1.60,1.55,2.33,,,,,,,,
October,1.76,1.52,1.41,5.33,,,,,,,,
November,1.88,0.78,1.76,,,,,,,,,
December,2.96,2.99,1.18,,,,,,,,,
Total,24.88,21.66,18.42,,,,,,,,,
Calc annual,24.88,21.66,18.42,30.12,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
