LANARK FENCE,,,,,,,,,,
Grid ref,NS 80619 45915,Long,-3.900703,Lat,55.691963,Elevation,445,ft,,
Station no,RR8963,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,5.91,1.91,1.85,1.06,3.73,1.34,,,,
February,0.69,0.53,2.92,3.48,8.96,0.07,,,,
March,2.21,3.41,0.89,0.79,4.38,2.2,,,,
April,0.92,0,1.17,1.22,1.74,1,,,,
May,2.72,1.7,3.12,1.72,2.81,0.28,,,,
June,2.36,0.25,3.55,1.72,1.99,1.23,,,,
July,2.51,0.92,2.34,1.77,3.24,3.71,,,,
August,4,3.38,7.64,2.95,3.55,5.29,,,,
September,2.08,6.51,3.58,2.28,0.29,1.22,,,,
October,2.87,3.26,3.9,3.56,2.1,3.53,,,,
November,6.5,3.14,2,2,3.43,3.91,,,,
December,1.6,7.04,1.35,4.3,2.95,4.87,,,,
Total,34.37,32.05,34.31,26.85,39.17,28.65,,,,
,,,,,,,,,,
Station no,RR8963,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
