DUNKELD STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 031 417,Long,-3.578005,Lat,56.556905,Elevation,212,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,8.24,6.85,4,5.66,2.46,7.46,1.74,3.62,1.4,0.28,0.5,,,2.88,4.48,3.82,3.56,2.81,9.69,,5.1,,,,,,,
February,,,8.15,1.09,1.52,1.51,4.42,2.26,1.29,4.99,5.54,3.61,3.71,,,6.62,1.51,2.35,0.63,1.75,1.58,,1.2,,,,,,,
March,,,3.26,2.14,3.21,1.72,4.13,1.9,0.62,3.37,3.58,2.73,4.11,,,2,4.08,1.8,3.29,1.45,,,,,,,,,,
April,,,1.25,0.43,3.05,1.28,2.73,4.4,1.95,2.9,3.71,1.28,3.33,,,3.65,1.8,2.32,2.23,5.59,,,,,,,,,,
May,,,4.19,3.52,2.31,1.3,1.98,3.55,4.31,2.59,1.8,1.72,2.48,,,4.75,3.07,0.55,3.75,4.31,,,,,,,,,,
June,,,5.06,2.15,1.25,3.4,4.85,6.43,3.6,3.88,0.94,2.99,4.25,,,0.64,1.22,0.6,3.94,1.14,,,,,,,,,,
July,,,3.27,5.6,5.01,2.02,1.47,3.83,0.3,3.62,3.4,4.26,6.15,,,0.7,4.27,2.17,5.93,3.52,,2.58,,,,,,,,
August,,,4.43,3.21,3.91,3.57,3.12,7.29,4.88,5.26,1.25,1.83,,,,3.93,1.67,3.33,2.75,6.85,,5.45,,,,,,,,
September,,,4.9,3.53,4.19,5.26,3.49,2.65,3.36,3.76,2.3,3,,,,6.3,4.75,3.99,0.33,0.9,,3.18,,,,,,,,
October,,,4.71,4.57,5.3,5.58,7.8,8.19,4.06,0.88,0.49,5.02,,,,2.33,4.17,0.76,3.9,3.85,,5.05,,,,,,,,
November,,,6.1,1.52,3.28,4.7,6.2,6.14,1.67,1.21,4.63,7.08,,,,2.54,4.42,1.93,8.35,1.11,,6.93,,,,,,,,
December,,,9.16,3.1,3.06,5.19,9.19,3.85,1.55,3.16,2.26,4.08,,,,1.85,2.91,1.84,3.55,3.54,,4.74,,,,,,,,
Total,,,62.72,37.71,40.09,41.19,51.84,57.95,29.33,39.24,31.3,37.88,,,,38.19,38.35,25.46,42.21,36.82,,,,,,,,,,
