SWAFFHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF818089,Long,0.6873,Lat,52.6477,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,2.87,,,,,,,0.95,0.12,1.06,1.79,1.73,1.83,2.63,2.4,1.97,1.14,0.65,2.37,2.18,0.87,2.06,1.88,3.2,1.48,1.51,1.26,2.06,4,0.67,1.02,1.74,1.8,1.03,3.65,1.1,0.94,0.75,2.14,1.61,2.64,3.26,1.67,2.72,1.5,2.32,2.46,3.08,,
February,,,1.34,,,,,,,2.33,1.78,3.04,1.67,3.21,0.78,1.98,0.37,0.66,2.12,1.52,0.72,0.06,2.6,2.53,1.3,0.3,0.78,2.38,0.74,0.98,3.83,1.19,1.13,0.44,3.15,1.04,2.35,1.32,1.78,0.28,2.63,1.56,1.15,0.68,1.32,2.83,3.83,0.72,1.08,2.57,,
March,,,1.85,,,,,,,1.06,0.96,1.92,1.41,1.39,1.31,1.23,1.68,1.83,2.39,1.03,2.17,1.36,0.7,0.21,0.78,2.12,3.53,2.69,1.92,1.16,0.95,1.7,1.59,2.3,1.49,2.65,1.74,1.19,2.16,2.95,0.81,2.34,3.23,2.04,3.3,1.5,3.61,1.62,0.68,2.26,,
April,,,2.36,,,,,,,2.45,2.27,1.04,2.89,1.13,1.12,1.36,1.62,1.16,1.7,2.13,0.48,1.04,1.08,0.06,2.1,1.56,0.82,2.32,1.14,2.41,1.24,2.26,1.06,1.92,1.12,1.91,0.72,3.03,2.71,1.2,2.37,0.93,0.28,2.39,0.67,0.85,1.86,1.79,2.12,1.87,,
May,,,1.94,,,,,,,3.03,0.53,0.94,1.65,1.15,0.65,2.63,2.7,1.87,0.86,2.54,2.12,3.26,1.57,1.19,2.26,0.95,0.62,0.89,3.15,1.57,1.66,1,3.62,2.14,1.76,1.42,0.83,2.44,1.62,1.22,3.12,1.44,1.98,2,1.12,1.34,2.02,0.45,2.93,0.44,,
June,,2.53,3.39,,,,,,,4.47,5.04,1.8,4.99,4.1,0.84,1.2,1.23,0.11,1.01,1.74,4.26,0.71,2.61,1.29,2.89,1.73,1.99,2.26,2.57,0.91,2.5,1.1,2.89,2.37,0.67,2.81,2.82,2.27,1.14,3.56,2.32,4.69,3.53,1.09,2.07,0.83,2.26,0.91,0.55,1.48,,
July,,2.54,6.06,,,,,,1.1,4.91,6.18,2.5,2.7,4.85,2.07,1.06,5.33,0.88,4.27,2.14,3.98,4.06,4.03,4.86,2.71,3.65,1.96,0.71,1.22,1.89,2.18,0.92,2.7,2.67,2.91,0.66,0.67,1.74,3.38,3.47,3.4,0.16,3.52,0.75,1.1,4.48,0.94,2.71,3.4,2.98,,
August,,0.68,5.19,,,,,,4.83,5.46,2.86,4.55,2.32,1.06,2.06,1.21,2.84,2.16,3.51,3.98,2.59,4.37,2.53,1.87,2.19,3.59,2.02,3.12,2.12,2.03,4.55,1.51,2.17,3.32,3.38,2.84,2.1,1.98,2.23,2.32,1.98,0.69,7.22,0.81,1.32,2.02,2.19,4.07,2,2.58,,
September,,3.77,2.4,,,,,,1.52,3.12,3.95,3.21,2.83,6,1.88,4.54,1.36,2.46,1.09,2.72,0.54,1.03,2.07,0.81,2.07,0.72,5.34,4.03,0.26,4.95,0.67,1.21,1.04,4.23,2.24,2.83,1.31,0.57,1.77,1.62,0.89,2.52,2.64,1.12,0.9,1.07,1.21,2.59,5.41,1,,
October,,1.53,3.31,,,,,,2.27,1.14,4.73,2.32,4.6,3.8,2.24,5.31,4.1,3.03,1,2.95,1.72,4.05,6.46,2.24,2.83,1.95,4.12,0.99,2.38,1.99,2.39,2.65,1.86,6.19,1.14,3.02,4.58,3.07,1.14,3.89,1.4,2.39,2.41,3.78,2.05,1.29,2.68,3.75,1.82,2.12,,
November,,1.84,4.51,,,,,,5.84,1.62,2.02,2.35,3.1,4.64,1.81,3.56,2.52,2.26,2.66,0.97,3.22,1.84,1.84,3.01,4.22,2.97,1.15,1.56,2.19,2.27,2.73,1.93,1.3,1.63,1.6,2.31,3.44,2.58,1.24,0.88,3.22,3.96,2.81,2.21,2.2,2.89,2.99,1.95,2,1.88,,
December,,1.3,4.19,,,,,,1.87,0.84,2.89,2.65,3.96,1.82,2.35,1.24,3.98,1.25,1.17,1.57,0.42,3.46,1.33,1.27,2.8,1.91,3.85,1.86,2.15,1.66,2.94,3.94,1.42,1.14,1.48,0.92,2.21,2.53,1.35,4.52,3.94,3.48,2.91,0.52,5.42,4.07,3.03,0.83,3.79,4.59,,
Total,,,39.41,,,,,,,31.38,33.33,27.38,33.91,34.88,18.94,27.95,30.13,19.64,22.92,23.94,24.59,27.42,27.69,21.4,28.03,24.65,27.66,24.32,21.1,23.88,29.64,20.08,21.8,30.09,22.74,23.44,26.42,23.82,21.46,26.66,28.22,25.77,34.32,20.65,23.14,25.89,28.12,23.71,28.24,26.85,,
