SWAFFHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF818095,Long,0.6875,Lat,52.653,Elevation,239,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.48,,,1.46,1.51,1.44,1.03,1.51,0.2,2.21,4.1,0.84,1.4,1.84,1.96,1.32,4.16,1.5,1.11,0.95,2.26,1.82,2.69,2.84,1.93,3.01,1.57,2.44,2.99,3.8,2.59,2.99,3.46,2.49,2.29,0.98,3.37,2.34,4.98,2.28,1.61,2.55,1.26,1.24,1.75,2.02,3.11,3.64,2.45,4.67,1.53,2.25,2.72,3.53,2.33,2.82,1.58,1.26,,,,,
February,0.76,,,2.49,0.96,0.84,0.64,2.4,0.57,1.03,3.39,1.18,1.18,0.57,3.13,1.28,2.99,1.47,2.01,0.46,2.82,1.85,1.14,0.75,1.47,3.16,4.33,1.16,1.54,3.57,0.99,0.54,3.66,3.76,1.69,2.98,2.33,2.39,1.41,0.47,0.61,2.28,0.98,2.07,0.6,1.92,2.25,2.96,1.08,1.01,1.73,2.67,0.76,0.82,1.23,2.09,3.29,1.18,,,,,
March,2.35,,,0.33,0.57,1.05,3.65,2.58,2.27,0.94,1.01,2.36,1.58,2.99,1.98,2.83,2.3,1.65,2.65,3.16,1.07,2.98,3.57,2.33,3.74,1.62,3.38,1.8,1.78,2.71,1.5,1.43,2.51,1.84,0.8,2.07,0.43,2.25,1.58,0.24,1.56,0.56,1.52,2.54,1.89,0.65,0.69,3.59,0.54,2.39,2.42,3,1.8,0.54,0.33,1.72,0.92,4.57,,,,,
April,0.75,,,0.05,2.2,1.34,0.8,2.32,1.24,2.98,1.33,2.51,1.27,2.14,1.2,2.52,0.88,4.05,3.18,1.39,2.89,1.2,0.42,2.48,0.74,0.97,2.01,1.72,3.22,2.29,3.52,2.04,2.43,1.09,2.31,2.27,2.44,1.86,1.54,0.87,2.58,3.25,3.69,1.27,2.22,3.07,1.74,2.52,0.66,2.53,1.32,0.74,0.99,1.16,2.29,2.02,1.05,2.15,,,,,
May,2.25,,,1.16,2.39,0.99,0.82,0.9,2.89,1.76,1.95,1.15,4.25,2.71,2.22,1.56,1.38,3,1.88,1.36,3.61,1.17,2.2,2.16,1.26,1.56,2.23,0.54,3.9,0.5,2.19,1.26,0.87,2.27,2.91,3.14,2.82,1.27,2.05,1.71,3.47,3.46,5.03,2.19,1.28,1.05,1.47,2.33,2.19,0.73,1.39,2.07,2.59,1.96,1.63,3.13,1.45,0.56,,,,,
June,4.22,,,1.12,2.93,2,2.14,2.2,3.23,0.58,3.01,0.98,3.03,2.91,1.02,3.66,3.91,2.68,1.24,4.45,2.88,4.84,3.53,1.19,2.45,0.98,2.76,1.15,0.68,1.74,2.41,0.45,1.65,0.92,1.71,0.96,2.93,6.29,3.2,1.18,1.9,1.22,0.68,3.32,1.5,3.02,4.52,1.92,1.34,2.38,0.3,0.9,1.21,2.09,2.13,2,1.73,2.86,,,,,
July,4.77,,,4.64,2.94,3.48,2.27,0.73,1.24,2.69,2.57,1.24,3.07,2.87,3.45,0.67,1.3,2.16,3.62,4.69,4.09,0.23,3.96,1.11,1.21,4.62,0.97,2.9,4.23,3.7,4.06,1.83,5.51,3.62,2.15,1.74,1.57,3.38,2.25,2.99,6.18,4.42,3.36,2.78,1.51,0.9,5.36,2.42,2.38,2.74,2.67,2.89,4.85,0.92,2.95,1.48,4.29,1.58,,,,,
August,2.68,,,2.33,2.51,3.32,2.21,3.19,2.2,1.79,4.94,1.7,2.92,3.8,3.6,3.21,2.36,2.38,2.64,2.51,1.82,0.95,8.51,1.02,1.62,2.05,3.1,5.52,2.39,2.47,1.75,1.71,2.97,3.02,3.11,2.9,1.53,3.45,2.02,1.22,2.58,3.39,1.55,0.93,2.07,1.37,1.48,1.49,2.01,3.17,1.04,4.16,2.13,1.49,1.58,2.47,3.13,0.03,,,,,
September,0.64,,,0.81,2.14,1.22,4.75,4.44,0.27,5.24,0.89,1.28,1.17,4.7,2.57,3.15,1.75,0.67,2.05,1.97,1.15,2.78,3.41,1.35,1.05,1.18,1.44,3.32,6.05,1.18,2.42,1.36,4.58,2.46,2.98,3.86,1.25,3.57,0.51,0.45,4.46,2.54,2.62,2.37,1.93,4.71,2.83,3.11,2.26,2.58,0.87,0.55,2.59,1.99,4.4,2.61,2.93,1.25,,,,,
October,1.55,,,1.97,2.66,1.9,4.67,1.07,2.38,2.15,2.93,2.72,2,6.88,1.24,3.78,5.16,3.42,1.3,4.55,1.65,2.83,2.71,3.62,2.36,1.45,2.69,4.49,1.75,3.07,0.74,1.97,0.96,3.98,4.44,2.47,2.3,2.56,3.35,3.62,0.35,1.25,7.01,3.29,1.78,3.24,2.04,1.65,2.88,5.28,1.87,2.61,3.73,1.46,3.62,3.57,2.02,0.29,,,,,
November,3.72,,,2.45,4.64,3.32,0.71,1.5,2.37,2.3,3.17,2.16,1.43,1.89,1.74,2.43,4.22,2.83,1.32,1.08,3.5,4.7,3.61,2.58,2.25,3.7,2.87,2.32,2.41,2.35,0.98,1.78,2.15,2.78,2.24,2.87,4.26,3.72,2.29,4.89,3.36,2.32,1.64,2.07,1.61,3.49,3.43,2,2.69,4.65,6.08,2.45,3.28,2.22,4.65,1.16,5.05,1.17,,,,,
December,0.33,,,0.86,2.67,1.83,3.51,2.03,1.99,1.67,3.15,3.62,1.5,1.05,1.82,0.98,2.3,2.73,1.59,4.74,3.99,3.5,2.94,0.79,6.06,4.15,3.66,1.16,4.83,5.59,2.74,2.17,2.96,4.24,2.65,2.71,1.16,2.32,2.52,3.9,1.97,1.03,0.64,0.62,4.63,1.92,1.86,2.94,3.48,1.23,1.9,1.19,1.77,1.07,1.45,2.8,2.46,2.51,,,,,
Total,26.5,,,19.67,28.12,22.73,27.2,24.87,20.85,25.34,32.44,21.74,24.8,34.35,25.93,27.39,32.71,28.54,24.59,31.31,31.73,28.85,38.69,22.22,26.14,28.45,31.01,28.52,35.77,32.97,25.89,19.53,33.71,32.47,29.28,28.95,26.39,35.4,27.7,23.82,30.63,28.27,29.98,24.69,22.77,27.36,30.78,30.57,23.96,33.36,23.12,25.48,28.42,19.25,28.59,27.87,29.9,19.41,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_10_pt1-page-015.csv added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_10_pt1-page-141.csv added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
