"SWAFFHAM",,,,,,,,,,,,
Grid ref,TF822086,Long,0.691613,Lat,52.644535,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.94,,
February,,,,,,,,,,0.40,,
March,,,,,,,,,,3.21,,
April,,,,,,,,,,1.44,,
May,,,,,,,,,,1.32,,
June,,,,,,,,,,3.95,,
July,,,,,,,,,,3.79,,
August,,,,,,,,,,2.52,,
September,,,,,,,,,,1.85,,
October,,,,,,,,,,4.42,,
November,,,,,,,,,,1.17,,
December,,,,,,,,,,4.60,,
Total,,,,,,,,,,29.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.61,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
