"CLEISH CASTLE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1215,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,5.59,7.14,3.01,,,,,,
February,,,,2.79,2.83,4.58,,,,,,
March,,,,1.74,3.09,2.91,,,,,,
April,,,,2.27,1.45,2.62,,,,,,
May,,,,1.96,4.74,4.57,,,,,,
June,,,,3.61,0.50,1.16,,,,,,
July,,,,6.45,5.96,1.49,,,,,,
August,,,,5.72,2.28,2.69,,,,,,
September,,,,3.61,2.66,5.52,,,,,,
October,,,,4.64,2.92,2.82,,,,,,
November,,,,6.89,4.06,3.17,,,,,,
December,,,,3.61,8.50,2.94,,,,,,
Total,,,,48.88,46.13,37.48,,,,,,
Calc annual,0.00,0.00,0.00,48.88,46.13,37.48,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
