BROMSGROVE UPPER BITTAL RES.,,,,,,,,,,,,,,,,,,,,
Grid ref,SP019748,Long,-1.9735174,Lat,52.371243,Elevation,518,ft,,,,,,,,,,,,
Station no,RR4169,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.77,4.51,1.9,2.43,0.69,0.63,2.31,3.6,2.97,1.93,3.29,3.48,,
February,,,,,,,3.66,1.54,1.54,2.68,3.53,3.33,2.8,3.33,1.38,3.23,0.83,0.9,,
March,,,,,,,2.55,2.28,0.64,0.93,1.46,2.12,2.06,1.38,2.73,1.34,2.77,1.95,,
April,,,,,,,2.35,2.79,3.15,3.08,1.46,1,4.08,0.94,1.97,2.89,2,1.43,,
May,,,,,,,0.66,2.75,6.57,3.12,1.83,1.24,2.12,1.68,0.93,2.48,6.2,1.93,,
June,,,,,,,2.03,1.1,3.48,6.5,2.75,2.42,5.07,3.26,1.86,4.35,1.69,1.39,,
July,,,,,,,1.56,4.5,0.56,4.2,5.49,2.41,4.01,2.81,3,1.35,3.35,1.48,,
August,,,,,,,2.85,6.13,7.19,6.94,0.57,5.75,2.61,1.15,1.91,2.15,2.43,1.69,,
September,,,,,,,5.64,2.83,3.5,3.32,4.1,1.87,2.32,6.5,2.04,4.21,2.03,1.68,,
October,,,,,,,2.03,2.38,3.64,1.13,4.93,2.12,6.95,3.17,1.23,4.85,4.17,2.55,,
November,,,,,,,4.07,3.77,3.37,1,2.18,3.21,3.89,5.02,1.85,3.98,2.52,2.15,,
December,,,,,,,7.13,1.83,2.4,1.04,3.83,3.25,3.86,0.93,2.31,1.15,4.11,1.51,,
Total,,,,,,,36.3,36.41,37.94,36.37,32.82,29.35,42.08,33.77,24.18,33.91,35.39,22.14,,
