PONTYPRIDD-BOYS-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,ST072906,Long,-3.341442,Lat,51.606561,Elevation,330,ft,,,,,,,,,,,,
Station no,4075/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,11.48,8.47,6.71,8.49,5.38,15.5,2.31,2.5,9.77,7.26,1.25,4.3,5.65,7.44,8.61,7.16,7.56,7.04
February,,,4.24,1.66,8.52,7.48,1.99,4.31,3.38,12.45,5.94,1.1,2.25,7.34,3.01,0.43,7.19,6.92,0.39,5
March,,,1.79,0.45,3.27,1.94,10.2,3.49,2.24,4.09,5.85,4.9,3.24,5.9,2.84,1.98,8.03,1.28,5.66,2.43
April,,,1.52,4.41,3.1,2.12,5.9,3.38,3.85,4.12,6.67,4.78,4.47,1.53,3.28,2.29,0.32,1.65,4.07,3.75
May,,,6.06,4.3,4.98,5.82,2.26,4.51,6.3,2.21,2.66,4.43,4,3.64,6.87,2.15,2.43,5.01,1.44,1.37
June,,,4.54,4.08,5.78,6.85,2.53,6.98,0.98,2.74,1.69,3.24,4,6.57,8.53,3.92,1.72,4.69,2.95,2.61
July,,,5.42,4.25,4.12,3.55,3.58,4.11,1.34,8.19,2.29,3.79,8.73,4.72,1.33,5.09,5.26,6.32,4.91,7.03
August,,,7.03,4.47,3.9,10.1,0.66,7.89,2.57,11.22,,7.09,6.58,5.41,1.67,7.26,5.52,6.1,2.01,4.49
September,,,5.73,7.34,4.57,9.46,2.92,7.93,2.88,7.26,6.41,4.57,7.02,8.99,1.96,5.65,10.11,10.16,0.42,6.34
October,,,4.46,7.91,7.51,1.17,2.29,7.34,11.27,3.46,1.95,5.81,4.94,12.61,3.23,2.32,7.61,8.42,7.51,8.06
November,,,3.19,13.41,1.18,11.39,7.89,3.51,5.82,7.12,10.91,,5.74,14.29,6.14,1.84,3.06,2.89,7.37,14.79
December,,,3.59,4.79,9.55,7.13,7.37,7.39,6.51,4.83,7.31,5.24,2.47,7.29,9.19,7.64,4.64,6.11,14.92,8.56
Total,,,59.05,65.54,63.19,75.5,52.97,76.34,49.45,70.19,,,54.69,82.59,53.7,48.01,64.5,66.71,59.21,71.47
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1951 Aug estimated,,,,,,,,,,,,,,,,,,,,
"1952 Nov bracketed, value removed",,,,,,,,,,,,,,,,,,,,
1955 Jun IDR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Note on TYR: 1952 Jan Oct Nov weird, Nov small",,,,,,,,,,,,,,,,,,,,
