"PONTYPRIDD (BOY'S GRAMMAR SCHOOL)",,,,,,,,,,,,
Grid ref,ST072906,Long,-3.341442,Lat,51.606561,,,,,,,
Station no,4075/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.77,7.26,1.25,4.30,5.65,7.44,8.61,7.16,7.56,7.04,,
February,5.94,1.10,2.25,7.34,3.01,0.43,7.19,6.92,0.39,5.00,,
March,5.85,4.90,3.24,5.90,2.84,1.98,8.03,1.28,5.66,2.43,,
April,6.67,4.78,4.47,1.53,3.28,2.29,0.32,1.65,4.07,3.75,,
May,2.66,4.43,4.00,3.64,6.87,2.15,2.43,5.01,1.44,1.37,,
June,1.69,3.24,4.00,6.57,-999.00,3.92,1.72,4.69,2.95,2.61,,
July,2.29,3.79,8.73,4.72,1.33,5.09,5.26,6.32,4.91,7.03,,
August,9.05,7.09,6.58,5.41,1.67,7.26,5.52,6.10,2.01,4.49,,
September,6.41,4.57,7.02,8.99,1.96,5.65,10.11,10.16,0.42,6.34,,
October,1.95,5.81,4.94,12.61,3.23,2.32,7.61,8.42,7.51,8.06,,
November,10.91,4.78,5.74,14.29,6.14,1.84,3.06,2.89,7.37,14.79,,
December,7.31,5.24,2.47,7.29,9.19,7.64,4.64,6.11,14.92,8.56,,
Total,70.50,56.99,54.69,82.59,53.70,48.01,64.50,66.71,59.21,71.47,,
Calc annual,70.50,56.99,54.69,82.59,45.17,48.01,64.50,66.71,59.21,71.47,,
Difference,0.00,-0.00,-0.00,0.00,8.53,-0.00,0.00,-0.00,0.00,0.00,,
