GARSTANG CALDER MOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD503439,Long,-2.7576,Lat,53.889,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,5.53,6.27,4.88,5.34,1.93,7.13,2.98,1.37,0.91,1.23,4.67,6.18,6.1,1.95,4,2.68,1.73,1.56,4.15,1.75,2.71,1.32,,,,,,
February,,,2.66,0.73,1.68,1.08,4.38,4.88,1.45,3.63,3,5.29,3.28,3.03,3.26,2.79,1.18,2.34,0.64,1.86,0.59,0.13,1.82,4.01,,,,,,
March,,,4.53,3.83,4.2,0.95,3.3,3.53,1.57,1.57,3.81,4.35,5.08,0.79,3.47,3.05,3.07,1.86,2.5,2.18,3.6,0.98,0.66,1.03,,,,,,
April,,,3.87,0.57,1.6,1.2,2.77,2.56,1.43,1.26,2.94,2.04,5.48,2.47,1.11,1.39,2.28,1.44,1.52,2.02,1.36,1.25,1.46,0.21,,,,,,
May,,,1.74,2.23,1.53,2.54,0.39,2.6,3.78,2.81,2.29,5.91,1.96,1.36,2.81,1.6,3.8,1.53,0.9,3.61,2.07,1.57,4.68,1.91,,,,,,
June,,,6.41,3.23,1.07,5.6,5.18,2.38,3.76,3.75,7.09,4.37,5.03,3.24,0.84,2.21,1.84,0.51,1.9,0.9,3.62,1.27,2.76,1.29,,,,,,
July,,,7.64,4.06,1.62,5.07,3.22,4.97,0.98,6.65,4.43,8.67,9.15,4.52,6.5,1.83,6.01,2.21,6.32,2.45,3.4,3.33,1.51,3.15,,,,,,
August,,,4.1,4.8,7.53,3.28,4.39,8.63,5.57,7.99,2.08,8.54,6.43,3.6,2.64,1.65,2.12,2.26,3.02,4.81,6.88,8.76,5.81,3.56,,,,,,
September,,,8.26,2.42,4.84,4.98,4.07,5.62,4.9,3.44,4.75,2.12,2.32,5.56,3.36,6.51,4.91,4.41,1.47,3.26,3.44,5.52,5.08,3.87,,,,,,
October,,,7.48,7.55,6.07,4.02,2.92,5.69,4.18,2.89,2.79,3.86,5.47,5.52,2.56,4.01,5.03,1.65,2.67,3.89,3.4,3.44,3.5,6.54,,,,,,
November,,,4.82,3,5.41,6.06,3.09,6.62,2.19,1.35,5.65,6.6,7.59,4.68,1.68,2.8,3.58,2.67,4.03,1.83,6.64,4.91,2.62,2.18,,,,,,
December,,,4.21,1.72,3.82,2.42,4.95,4.66,2.4,2.85,6.29,5.47,3.67,2.33,4.02,1.58,3.99,2.36,2.5,3.03,0.47,7.09,1.86,3.82,,,,,,
Total,,,61.25,40.41,44.25,42.54,40.59,59.27,35.19,39.56,46.03,58.45,60.13,43.28,38.35,31.37,41.81,25.92,29.2,31.4,39.62,40,34.47,32.89,,,,,,
