"LOCH TAY (ARDTALNAIG)",,,,,,,,,,,,
Grid ref,NN702394,Long,-4.111824,Lat,56.528647,,,,,,,
Station no,5556/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,4.98,2.22,2.60,,
February,,,,,,,,2.89,1.39,5.84,,
March,,,,,,,,1.57,4.06,1.98,,
April,,,,,,,,1.55,4.24,5.19,,
May,,,,,,,,3.41,0.80,3.58,,
June,,,,,,,,4.14,2.51,2.17,,
July,,,,,,,,4.47,5.18,2.92,,
August,,,,,,,,5.60,1.97,3.71,,
September,,,,,,,,5.06,0.78,4.07,,
October,,,,,,,,3.87,5.91,7.28,,
November,,,,,,,,1.18,8.08,7.24,,
December,,,,,,,,8.66,11.12,6.73,,
Total,,,,,,,,47.38,48.26,53.31,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.38,48.26,53.31,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
