ARDTALNAIG (MILTON),,,,,,,,,,
Grid ref,NN701391,Long,-4.113299,Lat,56.525926,Elevation,425,ft,,
Station no,5556/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.03,4.61,1.75,,,,,,,
February,4.15,1.25,1.55,,,,,,,
March,2.63,3.49,,,,,,,,
April,3.09,2.28,3.2,,,,,,,
May,1.93,3.02,,,,,,,,
June,1.81,3.39,,,,,,,,
July,3.47,2.44,,,,,,,,
August,6.16,3.47,,,,,,,,
September,3.8,2.16,,,,,,,,
October,1.53,6.12,,,,,,,,
November,13,2.67,,,,,,,,
December,7.74,3.57,,,,,,,,
Total,53.34,38.47,,,,,,,,
,,,,,,,,,,
58-60 tfr to 5556/5/1,,,,,,,,,,
1951 P Low,,,,,,,,,,
Station no,5556/6,,,,,,,,,
Midas,205,,,,,,,,,
Hyd Stn,861812,,,,,,,,,
