"GLENDEVON (BURNFOOT HILL) NO.8.",,,,,,,,,,,,
Grid ref,NN901036,Long,-3.773494,Lat,56.212246,,,,,,,
Station no,5462,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.07,2.84,2.71,4.32,3.47,3.86,,,,,,
February,4.75,1.39,3.50,3.60,1.58,3.07,,,,,,
March,3.58,5.89,2.70,5.34,1.97,2.20,,,,,,
April,4.53,3.03,3.95,2.28,3.50,1.53,,,,,,
May,2.12,2.10,3.27,5.95,5.39,3.97,,,,,,
June,4.46,,-999.00,4.11,3.17,6.40,,,,,,
July,6.76,,,3.75,1.50,5.07,,,,,,
August,8.63,,,5.68,1.75,6.18,,,,,,
September,5.33,,,8.77,4.60,5.05,,,,,,
October,1.53,,,11.96,6.21,,,,,,,
November,10.73,,,12.03,2.86,,,,,,,
December,10.07,,-999.00,9.60,10.76,,,,,,,
Total,68.56,,,77.39,46.76,,,,,,,
Calc annual,68.56,15.25,16.13,77.39,46.76,37.33,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
