CORRIE MANSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 02573 42950,Long,-5.138461,Lat,55.639891,Elevation,20,ft,,,,,,,,,,,,,
Station no,5388,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,18.12,2.89,10.25,8.98,11.96,7.9,10.23,,,,,,
February,,,,,,,,,8.61,3.65,0.89,8.57,0.06,5.59,1.45,,,,,,
March,,,,,,,,,6.69,1.52,4.88,1.72,3.73,4.07,4.35,,,,,,
April,,,,,,,,,3.31,1.6,3.33,3.2,8.52,3.89,3.42,,,,,,
May,,,,,,,,,2.21,5.5,3.75,4.26,2.64,4.23,,,,,,,
June,,,,,,,,,8.31,4.3,3.28,6.9,2.26,3.85,,,,,,,
July,,,,,,,,,3.2,4.95,2.69,4.52,5.11,4.49,,,,,,,
August,,,,,,,,,6.11,7.88,7.18,2.63,3.51,4.43,,,,,,,
September,,,,,,,,,5.2,2.25,6.19,2.33,7.48,0.82,,,,,,,
October,,,,,,,,,14.8,10.31,12.77,6.67,8.02,6.12,,,,,,,
November,,,,,,,,,13.32,12.48,10.45,11.66,6.46,3.79,,,,,,,
December,,,,,,,,,9.73,20.03,8.26,8.76,12.07,2.92,,,,,,,
Total,,,,,,,,,99.61,77.36,73.92,70.2,71.82,52.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5388,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
