SANDHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU859610,Long,-0.7675,Lat,51.3417,Elevation,246,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.78,1.49,1.75,0.29,,1.24,1.04,,0.9,4.4,,,1.91,1.22,0.58,3.13,0.5,1.8,2.18,0.1,0.75,2.57,2.54,1.1,1.58,2.4,2.44,2.97,0.98,1.48,,,3,3.34,3.2,1.6,1,2.66,2.3,0.64,0.74,2.62,0.57,2,2.72,0.61,2.77,1.88,1.94,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.78,0.56,0.1,1.58,,3.5,1.84,,,0.7,,,2.21,0.15,4.63,0.35,2.61,2.02,2.33,1.62,1.08,0.24,0.92,1.66,1.82,2.48,0.86,1.06,1.05,2.18,,,0.9,1.21,4,0.89,1.58,0.78,0.43,0.3,1.9,0.94,0.9,0.54,0.49,0.83,1.65,2.36,0.95,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.64,1.15,0.15,3.16,1.02,1.05,,0.21,0.28,3.06,0.8,,,2.23,2.14,1.33,0.59,1.79,3.1,0.37,0.67,1.37,0.2,1.78,1.92,1.1,2.28,1.1,0.95,0.66,2.46,,,3.8,0.4,2,0.4,2,0.9,1.28,0.65,1.43,2.01,1.89,3.48,0.68,2.46,0.78,1.28,2.39,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.72,2.3,1.63,2.42,2.62,0.38,,2.4,1.11,1.1,2.3,,,1.08,1.17,2.12,0.43,0.91,3.44,1.04,0.49,0.76,0.15,1.85,0.06,1.92,0.26,0.91,2.78,1.18,2.72,,,1.5,0.81,3.15,0.32,0.5,3.3,1.82,2.37,2.38,1.04,0.68,2.1,0.5,1.42,0.52,1.8,1.34,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,3.38,2.83,2.55,1.77,1.5,,6.16,2,,1.55,2.12,0.72,,1.96,1.46,0.61,1.17,3.12,0.41,0.62,0.18,0.7,1.82,3.24,1.12,4.78,,2.26,1.9,1.1,0.04,,,1.7,1.51,2.14,4.36,2.4,4,0.86,1.77,1.77,2.45,1.69,3.26,1.55,1.52,1.81,1.2,1.8,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3.62,2.53,2.07,1.3,0.74,1.46,3.32,1.56,2.05,1.1,1.94,2.3,,1.75,2.3,2.21,1.75,1.89,1.92,1.14,1.89,1.62,0.78,1.83,1.57,1.62,1.7,1.18,0.86,1.18,3.65,,,0.9,4.86,2,1.8,0.89,1.12,2.73,0.7,1.68,4.59,2.06,2.13,3.64,0.9,2.51,2.44,0.97,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.22,2.65,2.2,4.83,2.64,3.16,1.47,,1.5,0.86,5.5,4.05,,2.94,0.95,1.93,6.21,0.42,1.61,1.46,1.23,3.64,1.72,2.43,0.9,1.4,1.38,2.36,1.18,0.62,2.22,,,3.24,3.6,3.64,1.8,5.67,1,1.6,2.84,1.15,1.91,2.96,1.56,0.82,0.4,2.06,0.85,3.24,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,0.67,0.72,3.02,2.4,0.2,1.9,1.88,2.24,1.54,2.04,3.7,3.07,,1.21,3.59,1.25,2.09,0.01,1.55,1.92,0.79,1.81,1.81,2.47,3.54,3.64,1.91,2.54,3.46,1.15,,,,2.1,2.83,2.5,0.87,2.22,2.53,2.83,1.55,2.98,4.73,0.45,1.42,3.01,1.04,2.92,1.92,1.41,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,0.2,3.64,3.62,2.71,4.35,1.18,2.2,3.78,3.52,5,4.56,3.24,3.62,2.3,4.36,0.47,1.43,1.1,2.83,3.05,1.18,1.99,3.82,2.2,5.7,2.62,0.42,1.28,1.6,1.86,1.32,,,2.07,0.24,4.44,1.47,0.64,2.31,2.52,3.53,1.27,3.34,3,2.15,2.98,3.36,1.98,0.27,3.19,1.54,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.04,0.4,1.44,2.65,3.36,4.7,2.7,3.08,,,3.49,,1.79,0.87,4.31,3.47,2.25,0.57,5.45,3.83,1.98,2.25,1.98,1.34,4.76,1.2,4.28,4.25,2.44,5.38,2.62,,,1.33,2.35,4.47,4.15,2.64,5.5,2.2,5.6,1.5,3.31,1.4,1.18,3.79,2.54,1.43,4.72,0.95,2.49,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,0.17,2.89,1.94,1.54,5.4,3.98,0.62,3.32,2.9,4.74,1.74,1.1,1.2,3.67,1.52,2.93,2.82,1.85,0.02,3,1.3,3.53,3.5,4.41,3.53,4.88,2.12,2.86,3.27,1.82,1.64,,,1.98,0.65,6,1.14,1.42,1.7,0.95,2,0.72,3.11,2.75,3.6,1.08,1.39,2.44,2.95,1.13,0.5,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,3.28,0.11,1.63,2,6.48,1.7,2.19,3.41,4.3,0.86,3.28,2.17,,1.52,3.13,1.45,4.28,0.53,1.8,1.36,1.54,1.31,3.16,0.49,2,0.92,0.84,0.2,2.44,1.14,2.67,,,1.34,0.86,2.1,0,1.2,1.34,3.2,0.5,2.08,2.2,2.4,1.2,1.4,1.59,0.35,1.41,1.22,0.96,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,25.37,22.57,37.32,22.15,,,,,,,,,28.61,21.3,25.44,19.77,,27.09,17.06,16.05,24.19,17.73,33.05,,25.52,,23.4,25.36,16.17,,,,21.24,35.57,29.39,17.94,27.11,25.16,25.48,16.39,25.99,29.84,19.33,25.74,22.29,15.38,24.37,20.22,19.53,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
