"BASINGSTOKE SHERBORNE ST JOHN",,,,,,,,,,,,
Grid ref,SU625555,Long,-1.105004,Lat,51.295207,,,,,,,
Station no,756,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.06,1.55,1.00,3.25,4.04,0.58,4.92,1.05,1.80,0.92,,
February,5.04,1.94,1.20,1.59,3.27,0.64,2.30,1.84,1.20,0.56,,
March,1.17,2.12,2.05,4.38,1.49,5.50,1.67,1.06,3.50,3.31,,
April,1.42,2.31,1.23,2.24,1.34,1.53,0.80,4.61,4.21,1.90,,
May,1.79,0.72,2.64,2.73,3.66,1.12,1.24,2.24,1.72,1.63,,
June,3.26,1.57,3.96,5.01,1.06,4.30,2.69,2.52,0.81,4.83,,
July,0.72,2.16,0.94,4.20,2.07,0.50,0.54,1.82,2.02,2.77,,
August,2.52,1.89,4.13,4.21,2.37,2.96,1.10,2.81,3.30,1.92,,
September,0.95,1.51,1.42,2.20,1.28,2.21,1.48,0.56,1.96,2.86,,
October,2.71,2.35,1.96,8.77,1.88,1.99,7.10,6.00,1.80,5.66,,
November,2.29,0.51,2.75,1.75,1.66,3.44,4.32,2.81,0.91,0.86,,
December,4.02,4.80,2.03,3.08,2.67,0.83,2.18,4.43,2.70,3.99,,
Total,28.95,23.43,25.31,43.41,26.79,25.60,30.34,31.75,25.93,31.21,,
Calc annual,28.95,23.43,25.31,43.41,26.79,25.60,30.34,31.75,25.93,31.21,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
