"SHERBORNE ST JOHN",,,,,,,,,,,,
Grid ref,SU619558,Long,-1.113556,Lat,51.297970,,,,,,,
Station no,756,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.95,2.40,0.81,,,,,,,,,
February,6.21,0.72,1.74,,,,,,,,,
March,4.06,2.76,,,,,,,,,,
April,3.66,1.56,,,,,,,,,,
May,2.95,3.18,,,,,,,,,,
June,0.64,1.70,,,,,,,,,,
July,1.36,0.68,,,,,,,,,,
August,4.61,2.49,,,,,,,,,,
September,3.61,3.48,,,,,,,,,,
October,0.92,4.18,,,,,,,,,,
November,7.79,3.74,,,,,,,,,,
December,2.29,2.40,,,,,,,,,,
Total,41.05,29.29,,,,,,,,,,
Calc annual,41.05,29.29,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
