HERNE-BAY-EDDINGTON (THE PRIORY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR1813066929,Long,1.131747,Lat,51.359529,Elevation,53,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,1.45,4.09,0.68,0.51,0.66,1.75,,0.92,2.01,1.47,2.11,0.87,2.55,0.52,2.05,2.83,0.56,0.64,2.29,1.93,0.9,2.15,,,
February,,,,,1.73,1.72,0.48,0.57,1.55,1.74,0.93,,2.03,3.92,1.21,0.5,0.38,1.81,1.04,2.39,3.41,1.28,1.11,1.19,2.3,0.79,1.48,,,
March,,,,,1.24,1.1,0.6,1.26,2.54,1.2,2.19,,2.12,0.34,0.74,0.87,2.08,3.11,2.22,0.6,1.29,2.15,1.09,2.1,1.7,2.36,0.56,,,
April,,,,,1.52,0.8,1.01,1.13,0.96,1.7,2.09,,1.38,0,2.04,1.28,0.87,1.63,0.77,2.74,1.02,2.08,0.52,1.43,0.84,1.92,0.86,,,
May,,,,,0.16,2,3.14,1.42,0.83,2,1.02,,0.71,0.64,1.03,0.64,0,0.9,3.76,2.7,0.64,0.82,1.79,3.73,1.86,1.24,1.67,,,
June,,,,,1.05,0.62,0.27,0.51,1.73,0.93,2.27,,3.27,0.49,2.45,0.4,3.37,1.5,3.94,1.61,2.77,0.75,2.15,4.98,1.41,4.18,1.96,,,
July,,,,,1.89,0.32,3,1.2,3.17,2.27,3,,1.9,2.72,4.17,3.02,1.44,0.55,0.94,1.65,0.87,1.58,1.46,5.31,1.44,0.85,1.71,,,
August,,,,,0.83,0.59,1.44,2.13,2.19,2.29,3.82,,5.11,0.59,1.68,1.65,3.19,2.23,1.63,0.8,1.75,1.12,3.02,2.31,1.18,1.86,0.53,,,
September,,,,,3.67,4.38,0.91,3.2,3.31,1.41,1.05,,2.98,2.52,1.71,0.65,3.78,2.33,0.38,2.01,0.77,1,1.5,2.38,2.77,2.36,2.04,,,
October,,,,,2.82,3.58,2.05,0.72,1.66,4.93,1.23,,4.5,2.68,2.65,2.63,4.45,0.42,1.68,2.11,1.89,1.74,2.1,3.77,1.94,1.06,2.45,,,
November,,,,,1.09,2.06,2.01,4.07,2.84,0.8,2.21,1.71,4.16,3.02,2.75,2.68,1.64,1.51,2.72,2.08,2.5,1.14,1.56,1.9,1.77,2.37,3.83,,,
December,,,,,2.32,0.91,4.55,1.8,1.43,1.35,0.63,2.49,2.22,1.6,1.09,3.2,2.95,2.5,1.43,1.95,2.16,1.81,2.66,1.97,2.37,0.8,2.9,,,
Total,,,,,,19.53,23.55,18.69,22.72,21.28,22.19,,31.3,20.53,22.99,19.63,25.02,21.04,21.03,22.69,21.9,16.03,19.6,33.36,21.51,20.69,22.14,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elev from map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
