"HERNE BAY EDDINGTON",,,,,,,,,,,,
Grid ref,TR180671,Long,1.129989,Lat,51.361116,,,,,,,
Station no,RR4079,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.83,0.56,0.64,2.29,1.93,0.90,2.15,,,,,
February,3.41,1.28,1.11,1.19,2.30,0.79,1.48,,,,,
March,1.29,2.15,1.09,2.10,1.70,2.36,0.56,,,,,
April,1.02,2.08,0.52,1.43,0.84,1.92,0.86,,,,,
May,0.64,0.82,1.79,3.73,1.86,1.24,1.67,,,,,
June,2.77,0.75,2.15,4.98,1.41,4.18,1.96,,,,,
July,0.87,1.58,1.46,5.31,1.44,0.85,1.71,,,,,
August,1.75,1.12,3.02,2.31,1.18,1.86,0.53,,,,,
September,0.77,1.00,1.50,2.38,2.77,2.36,2.04,,,,,
October,1.89,1.74,2.10,3.77,1.94,1.06,2.45,,,,,
November,2.50,1.14,1.56,1.90,1.77,2.37,3.83,,,,,
December,2.16,1.81,2.66,1.97,2.37,0.80,2.90,,,,,
Total,21.90,16.03,19.60,33.36,21.51,20.69,22.14,,,,,
Calc annual,21.90,16.03,19.60,33.36,21.51,20.69,22.14,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
