BALCOMBE-WATERWORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ290312,Long,-0.160362,Lat,51.065649,Elevation,476,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,3.78,1.79,2.92,5.87,1.27,4.36,2.51,1.71,4.15,6.11,4.04,4.04,5.24,2.11,2.76,4.52,4.11,2.68,5.17,1.01,4.49,2.76,3.35,2.61,3.01,1.22,5.73,7.14,3.99,5.76,2.44,3.01,3.29,6.97,2.47,2.02,2.82,3.48,6.05,1.16,1.26,3.9,2.63,1.28,1.78,3.95,4.83,2.63,4.03,3.34,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,5.34,2.45,3.13,1.48,6.09,5.89,4.76,1.34,1.93,2.98,0.86,0.93,3.34,6.17,0.44,5.79,3.02,5.41,1.69,0.82,1.16,2.33,0.76,3.14,0.23,4.29,2.38,5.97,1.08,1.79,2.89,3.61,0.56,2.09,1,1.99,2.99,2.1,1.88,1.67,5.72,7.2,0.72,1.45,2.97,1.74,0.53,5.2,2.76,0.09,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,1.65,2.45,5.48,3.94,6.34,0.96,4.25,2.17,1.19,4.77,1.22,2.04,2.86,3.11,2.2,0.94,0.35,4.04,2.56,0.03,1.52,0.52,1.72,3.6,3.12,0.41,1.97,4.14,0.61,1.6,3.95,3.26,3.15,0.43,0.1,1.61,1.15,6.85,1.02,1.08,1.86,4.1,3.67,0.32,3.71,1.33,1.2,1.77,2.58,2.25,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.73,2.86,2.24,0,4.12,1.94,1.94,1.78,2.56,3.59,2.9,2.91,1.2,4.13,2.95,3.75,3.59,3.76,2.07,2,0.87,2.17,4.36,3.04,0.73,3.07,3.82,2.71,3.51,0.22,2.82,1.34,1.92,1.94,1.56,2.31,1.12,2.23,1.96,1.66,1.78,2.29,2.76,2.06,2.92,0.4,0.39,1.85,0.18,1.42,2.95,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.91,2.57,1.47,1.4,2.38,1.46,4.11,3.22,1.7,1.45,0.52,0.88,1.83,0.92,3.53,4.64,3.27,1.55,0.96,1.27,2.89,2.73,2.92,3.5,1.89,0.82,1.76,0.4,2.35,2.57,1.91,1.88,2.41,3.3,3.38,1.06,2.03,3.38,2.07,2.8,2.01,1.31,2.81,1.95,2.63,2.15,4.8,0.39,1.59,2.89,0.6,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,3.08,2.37,2.41,2.96,0.47,0.51,0.44,2.35,1.81,1.18,0.85,1.33,0,1.83,0.5,3.58,0.1,3.36,4.57,3.09,1.68,0.68,1.78,1.84,2,1.26,3.58,3.93,1.37,0.66,1.72,0.34,1.74,0.23,2.13,2.01,3.01,3.32,3.29,3.37,0.75,1.64,2.32,1.49,1.88,3.77,2.07,3.46,1.46,4.61,1.33,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.28,3.46,0.44,1.38,4.14,1.79,5.05,1,3.27,5.67,2.53,6.59,0.28,5.95,4.14,4.85,4.67,1.94,3.11,2,3.79,3.25,3.66,4.25,2.13,2.29,0.98,5.23,1.05,2.53,2.66,3.52,2.54,2.25,2.25,3.08,4.99,2.53,1.79,1.44,0.32,3.12,3.13,0.83,4.55,4.12,0.93,3.69,3.94,1.82,1.07,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.73,2.77,0.91,8.25,1.84,1.42,2.14,3.81,8.28,1.3,3.15,1.62,2.33,3.31,2.74,3.95,2.68,2.35,6.5,3.7,2.91,4.34,5,0.67,1.14,2.7,4.4,0.62,1.95,1.56,2.7,0.15,4.98,4.14,1.71,2.56,2.02,6.5,0.4,4.76,1.73,2.58,5.92,3.02,2.31,3.45,1.13,4.27,3.43,3.81,1.21,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.65,0.6,1.92,4.15,2.58,1.64,2.01,2.04,2.33,6.66,1.39,3.84,0.87,2,2.12,3.44,2.86,0.53,5.67,1.18,0.7,3.44,1.96,2.42,3.54,2.31,5.03,2.05,3.18,3.34,1.12,1.52,0.39,2.41,1.63,2.78,2.6,4.88,1.88,2.52,1.28,3.48,3.5,3.54,4.62,2.94,2.31,3.97,3.74,4.2,0.15,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,7.69,3.47,4.79,4.58,5.05,2.32,3.52,6.59,5.33,2.33,0.46,2.24,1.56,1.15,7.42,4.66,4.9,2.3,2.56,7.5,4.85,2.1,0.77,8.2,2.18,2.91,5.51,1.98,3.42,4.19,5.91,4.29,1.21,4.85,3.77,5.07,4.24,1.15,0.67,2.03,10.99,0.63,1.52,3.63,4.39,3.11,4.5,2,1.76,3.62,4.04,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
