HAWKSHEAD SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD352980,Long,-2.9990048,Lat,54.373366,Elevation,241,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,4.71,7.89,10.06,8.89,15.21,9.39,7.77,7.56,6.88,10.84,9.31,19.05,4.26,10.12,9.26,10.83,6.5,11.11,4.11,8.83,7.77,12.28,11.43,,2.25,6.23,14.26,11.23,,10.63,8.41,14.22,,
February,,,,,,,,2.29,9.45,1.88,10.35,0.41,7.7,9.2,1.25,8.82,11.46,5.34,9.35,2.46,0.68,8.47,0.08,7.35,0.64,12.26,3,11.03,4.58,10.24,,7.99,2.16,5.53,3.02,,6.27,1.47,5.26,,
March,,,,,,,,3.82,2.51,6.22,9.46,11.6,4.44,2.51,2.12,2.21,4.97,6.95,7.53,1.77,4.05,0.96,5.62,5.95,5.84,2.4,4.17,2.72,5.45,5.6,8.53,4.65,6.03,3.35,1.19,,4.03,9.47,2.95,,
April,,,,,,,,2.92,2.18,3.65,7.85,1.1,3.67,4.84,3.02,7.68,3.47,3.89,3.25,3.24,2.56,2.99,5.85,3.55,4.83,5.4,1.17,4.35,1.41,3.26,3.05,2.43,3.77,4.37,5.1,,1.81,7.52,2.97,,
May,,,,,,,,3.91,2.3,1.87,8.76,4.89,4.09,4.14,7.52,7.53,2.96,3.24,1.39,4.42,2.66,4.4,6.37,3.46,6.37,0.82,0.73,2.69,6.78,1.31,1.17,5.71,5.13,7.31,3.1,,1.62,3.78,2.53,,
June,,,,,,,,5.12,3.72,2.4,3.01,0.34,2.45,1.63,4.13,1.56,3.6,4.39,11.14,2.84,2.76,8.46,2.59,2.25,3.3,7.6,5.43,4.08,7.59,4.7,0.82,0.64,0.89,4.89,5.15,,6.31,3.99,7.16,,
July,,,,,,,,1.41,-999,1.18,5.07,3.8,8.54,6.31,6.08,1.99,5.71,3.52,11.07,7.23,4.2,6.37,6.53,6.55,3.37,3.33,6.01,4.15,11.17,11.25,6.37,2.07,6.77,,5,,5.21,3.25,3.03,,
August,,,,,,,,10.34,-999,4.44,7.02,10.93,5.93,6.47,5.64,6.95,5.92,7.37,6.5,8.55,9.53,4.05,2,4.82,7.7,4.66,5.26,4.42,4.85,2.44,2.47,7.83,6.74,,5.04,,6.91,0.17,8.16,,
September,,,,,,,,9.77,15.58,7.18,4.31,2.73,5.05,8.89,9.59,5.52,6.97,10.16,2.81,3.39,4.96,2.58,10.3,1.36,10.36,11.96,7.86,5.42,4.13,4.36,6.83,1.92,7.28,8.18,8.82,,14.26,5.39,16.9,,
October,,,,,,,,14.3,9.2,2.49,3.74,4.39,3.11,15.5,7.05,10.17,6.42,9.04,14.63,9.05,16.37,6.09,13,6.18,12.81,12.99,6.54,4.55,20.92,2.9,7.17,8.35,9.66,8.71,8.23,,0.6,1.34,5.33,,
November,,,,,,,,8.43,4.56,5.54,3.99,4.44,4.31,9.32,5.59,2.36,11.54,10.87,20.6,15.66,8.71,11.86,7.2,3.24,1.91,7.16,7.57,2.66,13.55,12.44,9.61,5.59,2.27,5.54,12.99,,13.45,11.51,7.34,,
December,,,,,,,,7.32,13.67,12.85,8.25,12.33,9.59,9.6,15.01,6.02,2.6,2.12,8.42,11.25,7.14,7.08,10.04,1.82,12.49,5.07,10,5.33,6.93,4.63,8.94,4.73,12.04,3.66,8.54,,,4.39,,,
Total,,,,,,,,74.34,83.66,59.76,80.7,72.17,68.27,86.18,74.56,67.69,76.46,76.2,115.74,74.12,73.74,72.57,80.41,53.03,80.73,77.76,66.57,59.17,99.64,74.56,,54.16,68.97,,77.41,,,60.69,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 July/Aug bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940 Jan, Feb and total estimated hence removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943 July, August too much estimation - removed along with total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946 Dec part estimated, removed along with total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Feb, Mar estimated for snow but total accepted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
