PONTEFRACT FERN HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE435247,Long,-1.342337,Lat,53.716908,Elevation,125,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,0.79,2.31,1.25,2.78,1.24,1.75,0.24,1.67,0.3,2.29,1.26,1.34,2.7,,0.8,1.05,1.66,1.6,,,,,,,,
February,,,,,0.93,1.07,2,1.82,0.82,1.95,1.75,1.51,1.8,2.5,1.93,2.17,2,0.3,1.3,0.98,0.55,0.07,,,,,,,,
March,,,,,0.93,0.47,2.97,2.71,0.65,1.2,2.13,2.97,1.5,1.06,1.1,1.5,1.93,1.8,2.48,2.5,1.4,0.99,,,,,,,,
April,,,,,1.39,0.3,2.21,2.68,2.32,2,1.75,1.37,3.3,2.08,1.53,1.87,2.3,0.64,1.88,2.8,0.81,1.69,,,,,,,,
May,,,,,1.03,1.25,0.63,2.02,2.98,1.85,2.63,0.58,1.5,1.13,1.2,2,4.32,1.69,0.28,3.54,1.7,3.04,,,,,,,,
June,,,,,1.18,3.32,2.11,1.18,3.11,4.42,2.52,1.41,4.01,2.44,0.98,2.07,0.83,0.16,2.48,0.62,2.3,2.15,,,,,,,,
July,,,,,1.65,4.29,1.89,3.4,1.06,4.3,5.79,1.9,3.36,2.5,2,1.15,4.07,0.51,4.37,1.44,1.67,1.88,,,,,,,,
August,,,,,1.35,2.53,2.29,5.66,4.66,3.2,1.8,3.73,2.15,1.2,0.69,1.17,2.25,2.05,2.1,4.25,2.25,4.02,,,,,,,,
September,,,,,1.9,2.63,2.65,2.85,3.9,1.45,4.31,3.6,1.8,4.15,,1.75,0.94,,1.45,1.3,1.98,1.43,,,,,,,,
October,,,,,2.2,4.51,3.39,2.5,1.82,0.92,2.57,3.02,4.05,2.92,1.22,3.6,3.29,2.08,0.32,2.7,1.48,3.44,,,,,,,,
November,,,,,2.05,3.75,3.62,2.67,2.2,0.9,2.15,1.5,1.89,1.61,0.87,1.85,1.5,,1.75,0.8,1.8,1.75,,,,,,,,
December,,,,,1.9,0.49,4.96,2,0.55,1.15,1.24,0.7,4.68,1.75,1.65,0.8,2.44,1.55,1.4,2.4,1.1,1.62,,,,,,,,
Total,,,,,17.3,26.92,29.97,32.27,25.31,25.09,28.88,23.96,30.34,25.63,,21.27,28.57,,20.61,24.38,18.7,23.68,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1887 Jan, Sept, Nov each more than an inch too small - deleted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
