ENNISKILLEN MODEL SCHOOL - Observer Mr JF Abraham,,,,,,,,,,
Grid ref,IH2430043600,Long,-7.627095,Lat,54.340653,Elevation,160,ft,,
Station no,6185,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,3.7,3.97,3.69,,,,,,,
February,3.04,1.38,2.35,,,,,,,
March,0.61,3.29,2.41,,,,,,,
April,2.67,3.2,3.26,,,,,,,
May,2.61,2.47,2.68,,,,,,,
June,3.57,3.71,1.68,,,,,,,
July,3.08,2.07,4.17,,,,,,,
August,4.61,4.81,1.9,,,,,,,
September,2.29,4,3.14,,,,,,,
October,6,3.48,2.53,,,,,,,
November,5.93,4.45,4.36,,,,,,,
December,5.12,4.13,3.63,,,,,,,
Total,43.23,40.96,35.8,,,,,,,
