"ENNISKILLEN, TECHNICAL SCHOOL",,,,,,,,,,,,,,,,,,,,,
Grid ref,IH2430043600,Long,-7.627095,Lat,54.340653,Elevation,165,ft,,,,,,,,,,,,,
Station no,6186,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,5.32,6.29,1.56,5.36,3.84,3.63,3.3,3.07,1.41,,,,,
February,,,,,,,,2.4,4.29,3.35,0.45,3.43,0,2.87,0.12,3.69,,,,,
March,,,,,,,,4.22,3.07,0.37,3.74,2.35,2.57,1.18,2.48,1.75,,,,,
April,,,,,,,,1.76,2.62,1.08,1.42,2.5,2.5,1.37,2.75,2.45,,,,,
May,,,,,,,,1.55,1.24,2.28,2.23,4.56,2.86,2.35,2.81,1.23,,,,,
June,,,,,,,,3.92,7.33,2.39,2.54,6.54,1.35,2.12,1.48,,,,,,
July,,,,,,,,2.66,1.93,3.13,4.6,4.31,3.5,3.26,1.99,0.99,,,,,
August,,,,,,,,3.66,6.21,5.97,7.23,3.51,2.73,2.16,2.94,2.19,,,,,
September,,,,,,,,4.45,3.43,1.04,2.84,2.44,3.99,0.29,6.52,,,,,,
October,,,,,,,,2.3,5.46,4.23,6.31,2.68,3.25,2.14,5,,,,,,
November,,,,,,,,3.67,4.7,4.79,3.71,5.93,2.99,1.14,0.73,,,,,,
December,,,,,,,,1.79,3.05,7.87,4.18,2.77,5.67,2.16,5.33,,,,,,
Total,,,,,,,,37.7,49.62,38.06,44.61,44.86,35.04,24.34,35.22,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"1935 June, Sept-Dec estimated and then amended too",,,,,,,,,,,,,,,,,,,,,
