"ENNISKILLEN, CASTLE COOLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH253410,Long,-7.611939,Lat,54.317245,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.5,7,5.47,6.77,1.62,4.25,3.42,4.59,3.44,3.85,1.54,4.32,5.89,5.14,3.31,3.43,1.48,5.33,4.4,3.72,3.02,4.14,5.05,4.88,3.59,1.62,3.26,5.53,1.57,2.33,3.63,2.65,4.3,4.43,2.53,3.11
February,,,,,,4.64,2.75,2.21,4.24,3.52,0.58,2.99,0.12,2.97,0.22,4.07,1.91,4.46,2.12,3.26,2.82,3.42,1.49,2.83,1.33,3.51,3.52,0.75,2.66,3.09,3.75,3.04,1.25,0.84,3.89,4.26,2.36,2.65,3.29,0.89,3.18
March,,,,,,1.21,1.97,4.05,3.26,0.39,3.17,2.63,2.55,2.4,2.36,1.39,2.34,1.84,2.3,2.95,5.15,3.35,2.57,1.87,0.88,1.59,1.26,6.18,2.59,2.24,2.21,3.56,1.76,0.76,3.85,0.71,1.73,3.66,1.61,2.82,1.95
April,,,,,,4.16,2.11,1.79,2.6,1.06,1.77,2.43,2.38,1.55,2.78,2.69,0.9,1.98,0.25,1.86,3.49,1.46,2.12,1.99,1.59,1.62,1.22,4.13,1.67,3.55,5.05,1.56,1.52,2.05,0.91,2.58,1.26,1.35,1.23,2.98,2.1
May,,,,,,5.58,3.91,1.79,1.22,2.39,1.74,4.31,3.73,2.41,2.98,1.24,1.97,2.77,3.82,1.37,1.48,1.97,3.93,3.13,2.78,4.62,1.28,5.22,1.64,2.7,1.15,1.69,1.93,2.03,4.43,3.03,1.33,2.31,3.09,1.86,2.33
June,,,,,,0.65,3.5,3.98,7.39,2.54,2.25,6.72,1.56,2.68,1.86,5.11,3.31,1.47,4.34,2.78,1.23,0.93,0.6,2.82,3.67,4.57,3.33,3.8,3.68,1.47,1.83,2.17,2.34,1.28,2.57,4.96,3.97,1.85,5.6,2.64,2.63
July,,,,,,4.42,2.44,2.83,2.13,3.21,4.05,4.04,4.16,3.47,2.44,1.26,6.04,4.87,5.37,4.23,4.03,3.02,4.34,2.33,3.53,3.68,3.96,4.25,2.74,2.9,6.89,2.84,1.08,4.33,5.75,2.06,5.75,4.44,4.86,2.9,6.04
August,,,,,,2.93,3.77,3.69,5.81,5.7,6.87,3.39,2.39,1.9,5.05,2,2.3,3.89,2.4,0.81,0.85,3.82,5.58,7.36,3.13,2.24,4.4,0.65,2.79,2.65,5.05,4.25,3.2,3.4,3.19,0.83,6.51,4.87,4.59,0.97,5.13
September,,,,,,2.64,2.85,4.82,3.79,1.12,3.08,1.89,4.24,0.47,6.27,4.4,5.36,3.42,2.59,1.56,3.43,0.98,3.66,2.62,4.6,3.9,6.79,3.04,3.47,2.23,8.11,2.85,1.57,3.3,6.16,3.8,3.87,4.26,3.45,2.02,3.17
October,,,,,,3.78,3.24,2.42,6.05,4.7,6.3,2.58,3.49,2.51,4.76,5.42,3.7,0.84,7.09,3.26,4.59,3.29,3.1,3.14,5.19,3.55,2.1,2.6,3.23,4.47,2.91,1.42,4.78,2.48,5.52,2.57,3.26,3.77,2.26,5.76,2.87
November,,,,,,2.08,3.72,3.67,5.2,5.19,3.52,6.03,2.97,1.31,0.91,4.4,3.8,2.35,6.33,5.61,3.56,7.28,1.22,3.45,5.59,1.02,4.95,5.47,3.5,4.83,3.39,4.74,1.82,4.15,4.87,3.15,2.34,1.15,2.25,4.02,4.76
December,,,,,,2.67,1.53,1.67,3.47,7.6,4.96,2.7,6.22,2.5,5.07,2.75,4.67,2.4,4.29,3.25,4.24,2.42,5.07,2.51,5.61,3.95,6.07,3.51,7.25,5.05,3.5,5.19,4.21,3.04,3.37,4.16,5.01,4.75,5.11,6.45,3.2
Total,,,,,,38.26,38.79,38.39,51.93,39.04,42.54,43.13,38.4,27.61,38.55,36.27,40.62,36.18,46.04,34.25,38.3,33.42,39.01,38.45,41.62,37.27,43.02,44.65,40.1,38.77,45.46,36.57,30.99,29.23,46.84,35.74,40.04,39.36,41.77,35.84,40.47
