"ENNISKILLEN (BELLEVUE)",,,,,,,,,,,,
Grid ref,IH253410,Long,-7.611939,Lat,54.317245,,,,,,,
Station no,6185,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.26,5.53,1.57,2.33,3.63,2.65,4.30,4.43,2.53,3.11,,
February,3.04,1.25,0.84,3.89,4.26,2.36,2.65,3.29,0.89,3.18,,
March,3.56,1.76,0.76,3.85,0.71,1.73,3.66,1.61,2.82,1.95,,
April,1.56,1.52,2.05,0.91,2.58,1.26,1.35,1.23,2.98,2.10,,
May,1.69,1.93,2.03,4.43,3.03,1.33,2.31,3.09,1.86,2.33,,
June,2.17,2.34,1.28,2.57,4.96,3.97,1.85,5.60,2.64,2.63,,
July,2.84,1.08,4.33,5.75,2.06,5.75,4.44,4.86,2.90,6.04,,
August,4.25,3.20,3.40,3.19,0.83,6.51,4.87,4.59,0.97,5.13,,
September,2.85,1.57,3.30,6.16,3.80,3.87,4.26,3.45,2.02,3.17,,
October,1.42,4.78,2.48,5.52,2.57,3.26,3.77,2.26,5.76,2.87,,
November,4.74,1.82,4.15,4.87,3.15,2.34,1.15,2.25,4.02,4.76,,
December,5.19,4.21,3.04,3.37,4.16,5.01,4.75,5.11,6.45,3.20,,
Total,36.57,30.99,29.23,46.84,35.74,40.04,39.36,41.77,35.84,40.47,,
Calc annual,36.57,30.99,29.23,46.84,35.74,40.04,39.36,41.77,35.84,40.47,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
