"WEST HAGLEY, GLENTHORPE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO903796,Long,-2.1440376,Lat,52.41431,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.91,2.72,1.94,3.27,2.92,3.92,1.53,5.3,1.74,2.43,2.07,3,1.36,3.12,3.06,2.83,5.54,3.59,3.6,,,,,,,,,
February,,,,5.66,0.57,3.13,2.25,2.53,2.05,0.67,0.85,2.78,0.38,3.1,0.33,2.7,2.95,4.61,0.59,1.08,2.64,2.88,,,,,,,,,
March,,,,1.87,1.49,0.83,0.58,2.46,2.35,0.12,2.79,0.18,1.75,2.62,2.56,0.62,2.57,2.77,0.44,1.61,1.53,2.35,,,,,,,,,
April,,,,2.55,3.2,2.51,2.35,1.53,1.58,0.63,3.04,3.75,3.43,0.94,2.7,3.45,2,2.61,0.16,1.84,3.48,1.23,,,,,,,,,
May,,,,1.53,6.13,3.1,3.95,1.53,0.78,2.12,2.45,4.92,5.93,2.01,1.23,1.1,1.49,2.06,1.82,1.25,2.71,3.11,,,,,,,,,
June,,,,0.46,2.05,0.15,1.78,4.39,3.33,2.15,1.4,4.25,0.9,2.38,1.23,2.26,3.15,0.71,1.43,1.84,0.76,1.14,,,,,,,,,
July,,,,3.41,3.65,3.16,2.69,5.28,1.1,1.82,4.78,3.93,3.2,2.42,1.37,0.45,6.13,2.98,3.84,4.27,2.19,3.61,,,,,,,,,
August,,,,2.04,4,2.58,2.38,3.43,1.83,1.96,3.62,4.57,4.58,0.82,2.33,1.92,0.68,1.83,2.97,1.76,0.19,3.47,,,,,,,,,
September,,,,2.78,3.91,4.07,1.03,4.38,0.67,0.69,3.88,2.48,3.09,0.53,1.84,4.23,2.77,2.94,1.83,0.76,1.05,0.61,,,,,,,,,
October,,,,3.75,4,3.61,2.31,1.8,4.68,4.24,2.97,0.94,3.77,4.68,1.52,3.27,1.52,2.42,2.62,3.47,3.94,2.53,,,,,,,,,
November,,,,1.64,2.32,1.56,5.54,3.83,3,7.28,3.35,3.91,1.91,0.9,2.13,5.82,2.61,1.46,3.35,4.81,5.91,2.83,,,,,,,,,
December,,,,3.34,3.24,3,0.56,2.2,2.08,5.75,3.15,1,0.91,0.55,4.52,3.04,2.77,2.41,4.06,1.72,1.77,1.27,,,,,,,,,
Total,,,,30.94,37.28,29.64,28.69,36.28,27.37,28.96,37.58,34.45,32.28,23.02,24.76,30.22,31.76,29.86,25.94,29.95,29.76,28.63,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR based upon distance/direction from church on record. Satallite shows moderate sized houses/gardens there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
