FELIN-FACH-ORIGINAL-POSITION,,,,,,,,,,,,,,,,,,,
Grid ref,SO090332,Long,-3.3266515,Lat,51.98977,Elevation,516,ft.,,,,,,,,,,,
Station no,4206/5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949
January,,,,,,,,,,1.36,,,6.85,4,,5,3.74,8.15,
February,,,,,,,,,,2.97,,,2.84,1.1,4.42,3.52,1.8,1.86,
March,,,,,,,,,,2.55,,,0.98,0.57,,0.47,8.45,1.52,
April,,,,,,,,,,3.02,,,1.04,1.41,,1.5,3.8,2.28,
May,,,,,,,,,,2.11,,1.61,3.51,,,3.23,2.23,2.87,
June,,,,,,,,,,,,0.19,3.36,2.41,,,2.38,,
July,,,,,,,,,,,,1.97,1.92,2.34,,,1.87,,
August,,,,,,,,,2.06,,,2.11,3.5,,,,,,
September,,,,,,,,,0.59,,,1.69,3.88,2.72,2.16,,1.81,,
October,,,,,,,,,3.25,,,2.81,4.19,5.15,5.41,,0.86,,
November,,,,,,,,,7.65,,,0.97,3.11,5.66,0.59,,2.6,,
December,,,,,,,,,2.17,,,3.22,1.79,3.67,,,2.97,,
Total,,,,,,,,,,,,,36.97,,,,,,
,,,,,,,,,,,,,,,,,,,
MIDAS src_id 10545 FELIN-FACHStart 1939 end 1976,,,,,,,,,,,,,,,,,,,
NGR is in Felin Fach at stated altitude and with correct relationship to new position. The gauge moved 250 yards W in 1948,,,,,,,,,,,,,,,,,,,
Feb/Mar 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,
