WEST LOCH TARBERT (ARDPATRICK),,,,,,,,,,
Grid ref,NR752592,Long,-5.585836,Lat,55.773728,Elevation,25,ft,,
Station no,5416/41,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.88
February,,,,,,,,,,3.54
March,,,,,,,,,,2.05
April,,,,,,,,,,3.87
May,,,,,,,,,,2.53
June,,,,,,,,,,1.63
July,,,,,,,,,5.28,4.28
August,,,,,,,,,1.06,3.6
September,,,,,,,,,1.93,3.35
October,,,,,,,,,6.22,3.97
November,,,,,,,,,5.22,6.19
December,,,,,,,,,8.36,6.25
Total,,,,,,,,,,45.14
,,,,,,,,,,
Station no,5416/41,,,,,,,,,
Midas,13889,,,,,,,,,
Hyd Stn,680730,,,,,,,,,
