WEST LOCH TARBERT (ARDPATRICK),,,,,,,,,,,,
Grid ref,NR752593,Long,-5.585918,Lat,55.774624,,,,,,,
Station no,5416/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.15,5.35,2.71,3.35,2.60,3.76,5.12,4.52,1.35,2.77,,
February,2.81,1.94,2.21,3.73,4.16,1.40,3.16,3.68,1.18,2.85,,
March,3.59,2.47,1.49,2.85,1.31,1.59,3.68,0.97,2.56,1.50,,
April,2.44,1.43,2.05,1.16,3.54,1.71,1.61,1.64,2.41,2.77,,
May,1.97,1.47,2.43,2.87,2.54,2.39,1.58,1.94,1.19,1.68,,
June,1.74,3.09,1.16,3.51,2.80,2.30,3.24,2.87,2.18,0.97,,
July,3.17,3.90,4.24,4.20,0.76,4.02,2.80,3.05,4.63,3.50,,
August,2.45,4.06,3.65,3.47,1.29,3.94,4.11,3.50,0.75,3.11,,
September,2.41,3.38,5.16,5.44,4.75,2.79,3.90,2.65,1.66,2.76,,
October,2.12,3.74,3.42,6.66,4.26,2.93,5.15,4.41,5.28,3.22,,
November,8.29,2.49,8.38,8.29,2.49,2.42,1.89,1.92,4.26,4.71,,
December,7.43,4.55,4.36,6.12,5.27,4.63,5.07,4.93,6.75,5.97,,
Total,42.57,37.87,41.26,51.65,35.77,33.88,41.31,36.08,34.20,35.81,,
Calc annual,42.57,37.87,41.26,51.65,35.77,33.88,41.31,36.08,34.20,35.81,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
