CARLUKE (LAW JUNCTION) MWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS8158452207,Long,-3.88809,Lat,55.7487,Elevation,534,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5168/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.91,1.54,3.98,3.01,4.99,3.59,2.47,0.73,4.58,2.94,3.27,3,2.98,2.93,5.64,3.31,1.82,3.31,3.32,1.17,,,,,,,
February,,,,0.35,3.27,2.19,3.48,0.93,3.14,1.11,2.56,1,2.93,0.96,4.25,2,0.58,3.02,3.33,3.11,2.36,0.79,1.2,,,,,,,
March,,,,2.07,1.77,1.41,1.14,2,3.03,3.09,2.54,1.74,2.05,0.61,2.02,1.83,2.36,2.33,1.05,2.33,2.13,1.33,0.57,,,,,,,
April,,,,3.57,2.75,0.94,1.23,0.43,1.27,2.55,0.99,1.51,1.76,1.8,1.24,0.79,4.57,2.44,2.16,2.76,2.42,1.76,1.97,,,,,,,
May,,,,2.01,0.84,1.07,1.24,3.59,0.55,1.83,4.83,1.81,3.43,1.7,3.81,1.15,3.48,1.25,1.54,1.43,1.74,1.77,1.55,,,,,,,
June,,,,2.15,4.48,1.25,2,3.98,1.72,0.74,0.52,1.02,2.84,2.44,3.48,2.31,2.53,4.69,1.15,2.33,2.5,2.1,1.12,,,,,,,
July,,,,3.47,1.5,3.76,3.76,3.07,2.94,5.29,2.76,2.37,2.65,3,2.88,3.36,2.15,2.09,1.33,4.44,2.31,2.67,3.69,,,,,,,
August,,,,2.86,1.86,2.31,4.04,2.07,1.18,1.5,3.41,2.9,3.69,3.99,1.49,2.72,0.03,5.83,4.08,4.5,4.75,3.74,,,,,,,,
September,,,,2.6,4.52,3.72,1.62,2.44,1.83,3.37,0.61,3.43,1.8,4.04,5.14,5.27,3.45,4.22,1,8.4,2.16,1.91,,,,,,,,
October,,,,4.36,7.22,2.9,3.73,7.64,1.56,2.73,2.55,3.51,5.04,4.08,4.06,0.47,1.43,3.18,4.88,2.36,1.2,2.5,,,,,,,,
November,,,,0.91,3.9,2.93,0.46,5.85,5.87,3.89,1.92,0.43,1.88,6.52,0.15,4.04,5.35,2.46,3.12,3.12,4.5,2.43,,,,,,,,
December,,,,2.98,1.67,3.92,2.07,2.26,1.22,3.49,1.5,3.07,1.48,3.38,2.52,2.31,2.01,4.71,5.75,1.56,4.41,2.54,,,,,,,,
Total,,,,31.24,35.32,30.38,27.78,39.25,27.9,32.06,24.92,27.37,32.49,35.79,34.04,29.23,30.87,41.86,32.7,38.16,33.79,26.86,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5168/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,654710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
