MORVERN (LOCHALINE),,,,,,,,,,
Grid ref,NM6706945313,Long,-5.79054,Lat,56.5419,Elevation,300,ft,,
Station no,5388/5,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,0.97,7.48,7.88,7.07,6.64,10.58,,,,
February,5.59,3.63,7.74,3.59,9.37,5.2,,,,
March,2.52,3.78,4.32,2.77,4.79,3.29,,,,
April,4.57,3.17,6.44,3.23,3.88,4.2,,,,
May,1.72,3.9,3.55,5.29,4.43,,,,,
June,1.56,3.73,5.05,5.27,7.07,,,,,
July,3.66,6.41,4.02,3.41,4.17,,,,,
August,7.67,8.29,7.81,3.79,2.72,,,,,
September,3.99,9.18,6.13,5.24,7.79,,,,,
October,6.05,8.21,13.18,9.53,5.5,,,,,
November,7.47,3.43,6.98,9.76,0.7,,,,,
December,4.92,11.99,5.29,9.29,7.29,,,,,
Total,50.69,73.2,78.39,68.24,64.35,,,,,
,,,,,,,,,,
Station no,5388/5,,,,,,,,,
Midas,14054,,,,,,,,,
Hyd stn,700052,,,,,,,,,
