"BEITH (FILTER STATION)",,,,,,,,,,,,
Grid ref,NS371538,Long,-4.597017,Lat,55.750078,,,,,,,
Station no,5251,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.27,6.81,3.77,6.42,3.40,4.06,6.14,6.46,2.36,4.82,,
February,3.50,2.76,3.38,4.66,3.56,2.29,3.55,4.12,2.64,4.83,,
March,4.48,4.52,1.27,3.64,2.05,3.52,5.63,1.43,3.14,2.35,,
April,3.14,2.82,2.04,2.69,4.32,1.55,3.09,2.06,3.59,5.23,,
May,2.05,1.67,2.27,3.37,5.22,3.44,2.92,4.47,1.45,2.33,,
June,2.57,3.87,1.96,5.36,3.88,2.98,2.91,3.16,3.56,3.23,,
July,4.23,3.80,6.28,5.03,1.64,4.79,5.58,5.46,5.83,5.17,,
August,5.48,5.35,3.66,7.61,1.31,5.47,4.86,4.73,1.18,4.00,,
September,3.87,3.86,6.94,7.46,5.69,4.91,3.76,6.91,1.73,4.04,,
October,1.26,5.90,4.60,11.43,3.12,3.81,6.80,4.91,7.09,3.05,,
November,7.11,3.35,9.08,8.18,2.64,2.57,2.68,2.55,6.14,6.91,,
December,9.26,5.89,6.36,8.75,8.86,6.52,6.50,6.99,8.88,7.08,,
Total,53.22,50.60,51.61,74.65,45.69,45.91,54.42,53.25,47.59,53.04,,
Calc annual,53.22,50.60,51.61,74.60,45.69,45.91,54.42,53.25,47.59,53.04,,
Difference,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,,
