CREDITON-SHIP-HOTEL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS832003,Long,-3.65845,Lat,50.79097,Elevation,200,ft,,,,,,,,,,,,,
Station no,1780,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.53,4.26,2.93,5.27,4.31,4.71,5.63,4.09,1.33,5.15,3.37,2.71,1.77,,,,,,,
February,,0.29,2.35,7.32,1.43,5.32,2.83,3.93,3.3,2.19,2.17,2.34,0.04,4.06,,,,,,,
March,,1.48,3.2,1.12,1.66,0.71,0.55,3.43,3.51,0.25,2.88,2.43,1.96,3.21,,,,,,,
April,,0.91,3.42,2.64,2.82,3.78,2.67,1.83,1.59,1.01,3.37,4.13,2.77,1.35,,,,,,,
May,,1.51,0.93,2.07,3.3,4.84,1.71,0.51,1.83,2.81,2.08,4.16,3.15,3.63,,,,,,,
June,,0.54,1.11,0.46,1.79,0.1,3.27,2.47,2,2.5,0.52,3.11,1.49,1.81,,,,,,,
July,,0.57,2.37,1.64,3.63,4.26,1.44,4.03,1.68,1.49,2.29,3.81,2.88,1.97,,,,,,,
August,,1.47,4.61,1.82,4.35,1.75,1.25,3.14,1.99,1.29,3.41,4.61,2.21,2.6,,,,,,,
September,,0.72,2.89,3.04,4.65,3.49,1.72,5.3,1.38,0.6,4.61,1.31,4.96,1.67,,,,,,,
October,,1.12,1.15,5.42,5.01,2.45,3.13,1.49,4.39,5.11,4.44,0.7,6.21,2.66,,,,,,,
November,,3.59,1.88,2.83,5.22,2.89,8.31,3.18,3.72,7.87,6.36,6.57,1.61,1,,,,,,,
December,,2.08,5.82,3.33,3.81,4.12,0.82,3.21,4.34,8.03,4.63,2.18,2,1.78,,,,,,,
Total,,16.81,33.99,34.62,42.94,38.02,32.41,38.15,33.82,34.48,41.91,38.72,31.99,27.51,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1934 Station terminated on death of observer,,,,,,,,,,,,,,,,,,,,,
